,result,time
0,False,1498754078
1,False,1498754082
2,False,1498754087
3,False,1498754091
4,False,1498754096
5,False,1498754100
6,False,1498754105
7,False,1498754110
8,False,1498754114
9,False,1498754119
10,False,1498754123
11,False,1498754128
12,False,1498754132
13,False,1498754137
14,False,1498754141
15,False,1498754146
16,False,1498754150
17,False,1498754155
18,False,1498754160
19,False,1498754164
20,False,1498754169
21,False,1498754173
22,False,1498754178
23,False,1498754182
24,False,1498754187
25,False,1498754191
26,False,1498754196
27,False,1498754200
28,False,1498754205
29,False,1498754209
30,False,1498754214
31,False,1498754219
32,False,1498754223
33,False,1498754228
34,False,1498754232
35,False,1498754237
36,False,1498754241
37,False,1498754246
38,False,1498754250
39,False,1498754255
40,False,1498754259
41,False,1498754264
42,False,1498754269
43,False,1498754273
44,False,1498754278
45,False,1498754282
46,False,1498754287
47,False,1498754291
48,False,1498754296
49,False,1498754300
50,False,1498754305
51,False,1498754309
52,False,1498754314
53,False,1498754318
54,False,1498754323
55,False,1498754328
56,False,1498754332
57,False,1498754337
58,False,1498754341
59,False,1498754346
60,False,1498754350
61,False,1498754355
62,False,1498754359
63,False,1498754364
64,False,1498754368
65,False,1498754373
66,False,1498754378
67,False,1498754382
68,False,1498754387
69,False,1498754391
70,False,1498754396
71,False,1498754400
72,False,1498754405
73,False,1498754409
74,False,1498754414
75,False,1498754418
76,False,1498754423
77,False,1498754427
78,False,1498754432
79,False,1498754436
80,False,1498754441
81,False,1498754445
82,False,1498754450
83,False,1498754454
84,False,1498754459
85,False,1498754464
86,False,1498754468
87,False,1498754473
88,False,1498754477
89,False,1498754482
90,False,1498754486
91,False,1498754491
92,False,1498754495
93,False,1498754500
94,False,1498754504
95,False,1498754509
96,False,1498754513
97,False,1498754518
98,False,1498754522
99,False,1498754527
100,False,1498754531
101,False,1498754536
102,False,1498754540
103,False,1498754545
104,False,1498754549
105,False,1498754554
106,False,1498754558
107,False,1498754563
108,False,1498754567
109,False,1498754572
110,False,1498754576
111,False,1498754581
112,False,1498754585
113,False,1498754590
114,False,1498754594
115,False,1498754599
116,False,1498754603
117,False,1498754608
118,False,1498754612
119,False,1498754617
120,False,1498754621
121,False,1498754626
122,False,1498754630
123,False,1498754635
124,False,1498754639
125,False,1498754644
126,False,1498754648
127,False,1498754653
128,False,1498754657
129,True,1498754662
130,True,1498754666
131,True,1498754671
132,True,1498754675
133,True,1498754680
134,True,1498754684
135,True,1498754689
136,True,1498754693
137,True,1498754698
138,True,1498754702
139,True,1498754707
140,True,1498754711
141,True,1498754716
142,False,1498754720
143,False,1498754725
144,False,1498754729
145,False,1498754734
146,False,1498754738
147,False,1498754743
148,False,1498754748
149,False,1498754752
150,False,1498754757
151,False,1498754761
152,False,1498754766
153,False,1498754770
154,False,1498754775
155,False,1498754779
156,False,1498754784
157,False,1498754788
158,False,1498754793
159,False,1498754797
160,False,1498754802
161,False,1498754806
162,False,1498754811
163,False,1498754815
164,False,1498754820
165,False,1498754824
166,False,1498754829
167,False,1498754833
168,False,1498754838
169,False,1498754842
170,False,1498754847
171,False,1498754851
172,False,1498754856
173,False,1498754860
174,False,1498754865
175,False,1498754869
176,False,1498754874
177,False,1498754878
178,False,1498754883
179,False,1498754887
180,False,1498754892
181,False,1498754897
182,False,1498754901
183,False,1498754906
184,False,1498754910
185,False,1498754915
186,False,1498754919
187,False,1498754924
188,False,1498754928
189,False,1498754933
190,False,1498754937
191,False,1498754942
192,False,1498754946
193,False,1498754951
194,False,1498754955
195,False,1498754960
196,False,1498754964
197,False,1498754969
198,False,1498754973
199,False,1498754978
200,False,1498754982
201,False,1498754987
202,False,1498754991
203,False,1498754996
204,False,1498755000
205,False,1498755005
206,False,1498755009
207,False,1498755014
208,False,1498755018
209,False,1498755023
210,False,1498755027
211,False,1498755032
212,False,1498755037
213,False,1498755041
214,False,1498755045
215,False,1498755050
216,False,1498755055
217,False,1498755059
218,False,1498755064
219,True,1498755068
220,True,1498755073
221,True,1498755077
222,True,1498755082
223,True,1498755086
224,True,1498755091
225,True,1498755095
226,True,1498755100
227,True,1498755104
228,True,1498755109
229,True,1498755113
230,True,1498755118
231,True,1498755122
232,False,1498755127
233,False,1498755131
234,False,1498755136
235,False,1498755140
236,False,1498755145
237,False,1498755149
238,False,1498755154
239,False,1498755158
240,False,1498755163
241,False,1498755167
242,False,1498755172
243,False,1498755176
244,False,1498755181
245,False,1498755185
246,False,1498755190
247,False,1498755194
248,False,1498755199
249,False,1498755203
250,False,1498755208
251,False,1498755212
252,False,1498755217
253,False,1498755221
254,False,1498755226
255,False,1498755230
256,False,1498755235
257,False,1498755239
258,False,1498755244
259,False,1498755249
260,False,1498755253
261,False,1498755258
262,False,1498755262
263,False,1498755267
264,False,1498755271
265,False,1498755276
266,False,1498755280
267,False,1498755285
268,False,1498755289
269,False,1498755294
270,False,1498755298
271,False,1498755303
272,False,1498755307
273,False,1498755312
274,False,1498755316
275,False,1498755321
276,False,1498755325
277,False,1498755330
278,False,1498755334
279,False,1498755339
280,False,1498755343
281,False,1498755348
282,False,1498755353
283,False,1498755357
284,False,1498755361
285,False,1498755366
286,False,1498755370
287,False,1498755375
288,False,1498755379
289,False,1498755384
290,False,1498755388
291,False,1498755393
292,False,1498755397
293,False,1498755402
294,False,1498755407
295,False,1498755411
296,False,1498755416
297,False,1498755420
298,False,1498755425
299,False,1498755429
300,False,1498755434
301,False,1498755438
302,False,1498755443
303,False,1498755447
304,False,1498755452
305,False,1498755456
306,False,1498755461
307,False,1498755465
308,False,1498755470
309,False,1498755474
310,False,1498755479
311,False,1498755483
312,False,1498755488
313,False,1498755492
314,False,1498755497
315,False,1498755501
316,False,1498755506
317,False,1498755510
318,False,1498755515
319,False,1498755520
320,False,1498755524
321,False,1498755529
322,False,1498755533
323,False,1498755537
324,False,1498755542
325,False,1498755547
326,False,1498755551
327,False,1498755556
328,False,1498755560
329,False,1498755565
330,False,1498755569
331,False,1498755574
332,False,1498755578
333,False,1498755583
334,False,1498755587
335,False,1498755592
336,False,1498755596
337,False,1498755601
338,False,1498755605
339,True,1498755610
340,True,1498755614
341,True,1498755619
342,True,1498755623
343,True,1498755628
344,True,1498755632
345,True,1498755637
346,True,1498755641
347,True,1498755646
348,True,1498755650
349,True,1498755655
350,True,1498755659
351,True,1498755664
352,False,1498755668
353,False,1498755673
354,False,1498755677
355,False,1498755682
356,False,1498755686
357,False,1498755691
358,False,1498755695
359,False,1498755700
360,False,1498755704
361,False,1498755709
362,False,1498755713
363,False,1498755718
364,False,1498755722
365,False,1498755727
366,False,1498755731
367,False,1498755735
368,False,1498755739
369,False,1498755744
370,False,1498755748
371,False,1498755752
372,False,1498755756
373,False,1498755761
374,False,1498755765
375,False,1498755770
376,False,1498755774
377,False,1498755779
378,True,1498755783
379,True,1498755788
380,True,1498755792
381,True,1498755797
382,True,1498755801
383,True,1498755806
384,True,1498755810
385,True,1498755815
386,True,1498755819
387,True,1498755824
388,True,1498755828
389,True,1498755833
390,True,1498755837
391,False,1498755842
392,False,1498755846
393,False,1498755851
394,False,1498755855
395,False,1498755860
396,False,1498755864
397,False,1498755869
398,False,1498755873
399,False,1498755878
400,False,1498755882
401,False,1498755887
402,False,1498755891
403,False,1498755896
404,False,1498755900
405,False,1498755905
406,False,1498755910
407,False,1498755914
408,False,1498755919
409,False,1498755923
410,False,1498755928
411,False,1498755932
412,False,1498755937
413,False,1498755941
414,False,1498755946
415,False,1498755950
416,False,1498755955
417,False,1498755959
418,False,1498755964
419,False,1498755968
420,False,1498755973
421,False,1498755977
422,False,1498755982
423,False,1498755986
424,False,1498755991
425,False,1498755995
426,False,1498756000
427,False,1498756004
428,False,1498756009
429,False,1498756013
430,False,1498756018
431,False,1498756023
432,False,1498756027
433,False,1498756032
434,False,1498756036
435,False,1498756041
436,False,1498756045
437,False,1498756049
438,False,1498756054
439,False,1498756058
440,False,1498756062
441,False,1498756066
442,False,1498756071
443,False,1498756075
444,False,1498756079
445,False,1498756083
446,False,1498756088
447,False,1498756092
448,False,1498756097
449,False,1498756101
450,False,1498756106
451,False,1498756110
452,False,1498756115
453,False,1498756119
454,False,1498756124
455,False,1498756128
456,False,1498756133
457,False,1498756137
458,False,1498756142
459,True,1498756146
460,True,1498756151
461,True,1498756156
462,True,1498756160
463,True,1498756165
464,True,1498756169
465,True,1498756174
466,True,1498756178
467,True,1498756183
468,True,1498756187
469,True,1498756192
470,True,1498756196
471,True,1498756201
472,False,1498756205
473,False,1498756210
474,False,1498756214
475,False,1498756219
476,False,1498756223
477,False,1498756228
478,False,1498756232
479,False,1498756237
480,False,1498756241
481,False,1498756246
482,False,1498756250
483,False,1498756255
484,False,1498756259
485,False,1498756264
486,False,1498756268
487,False,1498756273
488,False,1498756277
489,False,1498756282
490,False,1498756286
491,False,1498756291
492,False,1498756295
493,False,1498756300
494,False,1498756304
495,False,1498756309
496,False,1498756314
497,False,1498756318
498,False,1498756323
499,False,1498756327
500,False,1498756332
501,False,1498756336
502,False,1498756341
503,False,1498756345
504,False,1498756350
505,False,1498756354
506,False,1498756359
507,False,1498756363
508,False,1498756368
509,False,1498756372
510,False,1498756377
511,False,1498756381
512,False,1498756386
513,False,1498756390
514,False,1498756395
515,False,1498756399
516,False,1498756404
517,False,1498756408
518,False,1498756413
519,False,1498756417
520,False,1498756422
521,False,1498756426
522,False,1498756431
523,False,1498756436
524,False,1498756440
525,False,1498756445
526,False,1498756449
527,False,1498756454
528,False,1498756458
529,False,1498756463
530,False,1498756467
531,False,1498756472
532,False,1498756476
533,False,1498756481
534,False,1498756485
535,False,1498756490
536,False,1498756494
537,False,1498756499
538,False,1498756503
539,False,1498756508
540,False,1498756512
541,False,1498756517
542,False,1498756521
543,False,1498756526
544,False,1498756530
545,False,1498756535
546,False,1498756539
547,False,1498756544
548,False,1498756549
549,True,1498756553
550,True,1498756558
551,True,1498756562
552,True,1498756567
553,True,1498756571
554,True,1498756576
555,True,1498756580
556,True,1498756585
557,True,1498756589
558,True,1498756594
559,True,1498756598
560,True,1498756603
561,True,1498756607
562,False,1498756612
563,False,1498756616
564,False,1498756621
565,False,1498756625
566,False,1498756630
567,False,1498756634
568,False,1498756639
569,False,1498756643
570,False,1498756648
571,False,1498756652
572,False,1498756657
573,False,1498756662
574,False,1498756666
575,False,1498756671
576,False,1498756675
577,False,1498756680
578,False,1498756684
579,False,1498756689
580,False,1498756693
581,False,1498756698
582,False,1498756702
583,False,1498756707
584,False,1498756711
585,False,1498756716
586,False,1498756720
587,False,1498756725
588,False,1498756729
589,False,1498756734
590,False,1498756738
591,False,1498756743
592,False,1498756747
593,False,1498756752
594,False,1498756756
595,False,1498756761
596,False,1498756766
597,False,1498756770
598,False,1498756775
599,False,1498756779
600,False,1498756784
601,False,1498756788
602,False,1498756793
603,False,1498756797
604,False,1498756802
605,False,1498756806
606,False,1498756811
607,False,1498756815
608,False,1498756820
609,False,1498756824
610,False,1498756829
611,False,1498756833
612,False,1498756838
613,False,1498756842
614,False,1498756847
615,False,1498756851
616,False,1498756856
617,False,1498756860
618,False,1498756865
619,False,1498756870
620,False,1498756874
621,False,1498756879
622,False,1498756883
623,False,1498756888
624,False,1498756892
625,False,1498756897
626,False,1498756901
627,False,1498756906
628,False,1498756910
629,False,1498756915
630,False,1498756919
631,False,1498756924
632,False,1498756928
633,False,1498756933
634,False,1498756937
635,False,1498756942
636,False,1498756946
637,False,1498756951
638,False,1498756955
639,True,1498756960
640,True,1498756964
641,True,1498756969
642,True,1498756973
643,True,1498756978
644,True,1498756983
645,True,1498756987
646,True,1498756992
647,True,1498756996
648,True,1498757001
649,True,1498757005
650,True,1498757010
651,True,1498757014
652,False,1498757019
653,False,1498757023
654,False,1498757028
655,False,1498757032
656,False,1498757037
657,False,1498757041
658,False,1498757046
659,False,1498757050
660,False,1498757055
661,False,1498757059
