,result,time
0,False,1501867014
1,False,1501867018
2,False,1501867023
3,False,1501867027
4,False,1501867032
5,False,1501867036
6,False,1501867040
7,False,1501867045
8,False,1501867049
9,False,1501867054
10,False,1501867058
11,False,1501867063
12,False,1501867067
13,False,1501867072
14,False,1501867076
15,False,1501867080
16,False,1501867085
17,False,1501867089
18,False,1501867094
19,False,1501867098
20,False,1501867103
21,False,1501867107
22,False,1501867112
23,False,1501867116
24,False,1501867120
25,False,1501867125
26,False,1501867129
27,False,1501867134
28,False,1501867138
29,False,1501867143
30,False,1501867147
31,False,1501867152
32,False,1501867156
33,False,1501867160
34,False,1501867165
35,False,1501867169
36,False,1501867174
37,False,1501867178
38,False,1501867183
39,False,1501867187
40,False,1501867192
41,False,1501867196
42,False,1501867200
43,False,1501867205
44,False,1501867209
45,False,1501867214
46,False,1501867218
47,False,1501867223
48,False,1501867227
49,False,1501867231
50,False,1501867236
51,False,1501867240
52,False,1501867245
53,False,1501867249
54,False,1501867254
55,False,1501867258
56,False,1501867263
57,False,1501867267
58,False,1501867271
59,False,1501867276
60,False,1501867280
61,False,1501867285
62,False,1501867289
63,False,1501867294
64,False,1501867298
65,False,1501867303
66,False,1501867307
67,False,1501867312
68,False,1501867316
69,False,1501867320
70,False,1501867325
71,False,1501867329
72,False,1501867334
73,False,1501867338
74,False,1501867343
75,False,1501867347
76,False,1501867351
77,False,1501867356
78,False,1501867360
79,False,1501867365
80,False,1501867369
81,False,1501867374
82,False,1501867378
83,False,1501867383
84,False,1501867387
85,False,1501867392
86,False,1501867396
87,False,1501867400
88,False,1501867405
89,False,1501867409
90,False,1501867414
91,False,1501867418
92,False,1501867423
93,False,1501867427
94,False,1501867432
95,False,1501867436
96,False,1501867440
97,False,1501867445
98,False,1501867449
99,False,1501867454
100,False,1501867458
101,False,1501867463
102,False,1501867467
103,False,1501867472
104,False,1501867476
105,False,1501867480
106,False,1501867485
107,False,1501867489
108,False,1501867493
109,False,1501867497
110,False,1501867501
111,False,1501867505
112,False,1501867510
113,False,1501867514
114,False,1501867518
115,False,1501867522
116,False,1501867527
117,True,1501867531
118,True,1501867536
119,True,1501867540
120,True,1501867544
121,True,1501867549
122,True,1501867553
123,True,1501867558
124,True,1501867562
125,True,1501867567
126,True,1501867571
127,True,1501867576
128,True,1501867580
129,True,1501867585
130,False,1501867589
131,False,1501867594
132,False,1501867598
133,False,1501867602
134,False,1501867607
135,False,1501867611
136,False,1501867616
137,False,1501867620
138,False,1501867625
139,False,1501867629
140,False,1501867634
141,False,1501867638
142,False,1501867643
143,False,1501867647
144,False,1501867651
145,False,1501867656
146,False,1501867660
147,False,1501867665
148,False,1501867669
149,False,1501867674
150,False,1501867678
151,False,1501867683
152,False,1501867687
153,False,1501867692
154,False,1501867696
155,False,1501867700
156,False,1501867705
157,False,1501867709
158,False,1501867714
159,True,1501867718
160,True,1501867723
161,True,1501867727
162,True,1501867732
163,True,1501867736
164,True,1501867741
165,True,1501867745
166,True,1501867749
167,True,1501867754
168,True,1501867758
169,True,1501867763
170,True,1501867767
171,True,1501867772
172,False,1501867776
173,False,1501867781
174,False,1501867785
175,False,1501867790
176,False,1501867794
177,False,1501867799
178,False,1501867803
179,False,1501867808
180,False,1501867812
181,False,1501867817
182,False,1501867821
183,False,1501867825
184,False,1501867830
185,False,1501867834
186,False,1501867839
187,False,1501867843
188,False,1501867848
189,False,1501867852
190,False,1501867857
191,False,1501867861
192,False,1501867866
193,False,1501867870
194,False,1501867874
195,False,1501867879
196,False,1501867883
197,False,1501867888
198,False,1501867892
199,False,1501867897
200,False,1501867901
201,False,1501867906
202,False,1501867910
203,False,1501867915
204,False,1501867919
205,False,1501867924
206,False,1501867928
207,False,1501867932
208,False,1501867937
209,False,1501867941
210,False,1501867946
211,False,1501867950
212,False,1501867955
213,False,1501867959
214,False,1501867964
215,False,1501867968
216,False,1501867973
217,False,1501867977
218,False,1501867982
219,False,1501867986
220,False,1501867991
221,False,1501867995
222,False,1501867999
223,False,1501868004
224,False,1501868008
225,False,1501868013
226,False,1501868017
227,False,1501868022
228,False,1501868026
229,False,1501868031
230,False,1501868035
231,False,1501868040
232,False,1501868044
233,False,1501868049
234,False,1501868053
235,False,1501868057
236,False,1501868062
237,False,1501868066
238,False,1501868071
239,False,1501868075
240,False,1501868080
241,False,1501868084
242,False,1501868089
243,False,1501868093
244,False,1501868098
245,False,1501868102
246,False,1501868107
247,False,1501868111
248,False,1501868115
249,True,1501868120
250,True,1501868124
251,True,1501868129
252,True,1501868133
253,True,1501868138
254,True,1501868142
255,True,1501868147
256,True,1501868151
257,True,1501868156
258,True,1501868160
259,True,1501868165
260,True,1501868169
261,True,1501868174
262,False,1501868178
263,False,1501868182
264,False,1501868187
265,False,1501868191
266,False,1501868196
267,False,1501868200
268,False,1501868205
269,False,1501868209
270,False,1501868214
271,False,1501868218
272,False,1501868223
273,False,1501868227
274,False,1501868231
275,False,1501868236
276,False,1501868240
277,False,1501868245
278,False,1501868249
279,False,1501868254
280,False,1501868258
281,False,1501868263
282,False,1501868267
283,False,1501868272
284,False,1501868276
285,False,1501868281
286,False,1501868285
287,False,1501868290
288,False,1501868294
289,False,1501868298
290,False,1501868303
291,False,1501868307
292,False,1501868312
293,False,1501868316
294,False,1501868321
295,False,1501868325
296,False,1501868330
297,False,1501868334
298,False,1501868339
299,False,1501868343
300,False,1501868348
301,False,1501868352
302,False,1501868356
303,False,1501868361
304,False,1501868365
305,False,1501868370
306,False,1501868374
307,False,1501868379
308,False,1501868383
309,False,1501868388
310,False,1501868392
311,False,1501868397
312,False,1501868401
313,False,1501868406
314,False,1501868410
315,False,1501868415
316,False,1501868419
317,False,1501868423
318,False,1501868428
319,False,1501868432
320,False,1501868437
321,False,1501868441
322,False,1501868446
323,False,1501868450
324,False,1501868455
325,False,1501868459
326,True,1501868464
327,True,1501868468
328,True,1501868473
329,True,1501868477
330,True,1501868482
331,True,1501868486
332,True,1501868491
333,True,1501868495
334,True,1501868499
335,True,1501868504
336,True,1501868508
337,True,1501868513
338,True,1501868517
339,False,1501868522
340,False,1501868526
341,False,1501868531
342,False,1501868535
343,False,1501868540
344,False,1501868544
345,False,1501868549
346,False,1501868553
347,False,1501868558
348,False,1501868562
349,False,1501868566
350,False,1501868571
351,False,1501868575
352,False,1501868580
353,False,1501868584
354,False,1501868589
355,False,1501868593
356,False,1501868598
357,False,1501868602
358,False,1501868607
359,False,1501868611
360,False,1501868616
361,False,1501868620
362,False,1501868624
363,False,1501868629
364,False,1501868633
365,False,1501868638
366,False,1501868642
367,False,1501868647
368,False,1501868651
369,True,1501868656
370,True,1501868660
371,True,1501868665
372,True,1501868669
373,True,1501868674
374,True,1501868678
375,True,1501868683
376,True,1501868687
377,True,1501868691
378,True,1501868696
379,True,1501868700
380,True,1501868705
381,True,1501868709
382,False,1501868714
383,False,1501868718
384,False,1501868723
385,False,1501868727
386,False,1501868732
387,False,1501868736
388,False,1501868741
389,False,1501868745
390,False,1501868749
391,False,1501868754
392,False,1501868758
393,False,1501868763
394,False,1501868767
395,False,1501868772
396,False,1501868776
397,False,1501868781
398,False,1501868785
399,False,1501868790
400,False,1501868794
401,False,1501868799
402,False,1501868803
403,False,1501868808
404,False,1501868812
405,False,1501868816
406,False,1501868821
407,False,1501868825
408,False,1501868830
409,False,1501868834
410,False,1501868839
411,False,1501868843
412,False,1501868848
413,False,1501868852
414,False,1501868857
415,False,1501868861
416,False,1501868866
