,result,time
0,False,1498754078
1,False,1498754082
2,False,1498754086
3,False,1498754091
4,False,1498754095
5,False,1498754100
6,False,1498754104
7,False,1498754109
8,False,1498754113
9,False,1498754118
10,False,1498754122
11,False,1498754127
12,False,1498754132
13,False,1498754136
14,False,1498754141
15,False,1498754145
16,False,1498754149
17,False,1498754154
18,False,1498754158
19,False,1498754163
20,False,1498754167
21,False,1498754172
22,False,1498754177
23,False,1498754181
24,False,1498754186
25,False,1498754190
26,False,1498754195
27,False,1498754199
28,False,1498754204
29,False,1498754208
30,False,1498754213
31,False,1498754217
32,False,1498754221
33,False,1498754226
34,False,1498754230
35,False,1498754235
36,False,1498754239
37,False,1498754244
38,False,1498754248
39,False,1498754253
40,False,1498754257
41,False,1498754262
42,False,1498754266
43,False,1498754271
44,False,1498754275
45,False,1498754280
46,False,1498754284
47,False,1498754289
48,False,1498754293
49,False,1498754298
50,False,1498754302
51,False,1498754307
52,False,1498754311
53,False,1498754316
54,False,1498754320
55,False,1498754325
56,False,1498754329
57,False,1498754334
58,False,1498754338
59,False,1498754343
60,False,1498754347
61,False,1498754352
62,False,1498754356
63,False,1498754360
64,False,1498754365
65,False,1498754369
66,False,1498754374
67,False,1498754378
68,False,1498754383
69,False,1498754387
70,False,1498754392
71,False,1498754397
72,False,1498754401
73,False,1498754406
74,False,1498754410
75,False,1498754414
76,True,1498754418
77,True,1498754423
78,True,1498754427
79,True,1498754431
80,True,1498754436
81,True,1498754440
82,True,1498754444
83,True,1498754448
84,True,1498754453
85,True,1498754457
86,True,1498754462
87,True,1498754466
88,True,1498754471
89,True,1498754475
90,True,1498754480
91,True,1498754484
92,True,1498754489
93,True,1498754493
94,True,1498754498
95,True,1498754502
96,True,1498754507
97,True,1498754511
98,True,1498754516
99,True,1498754520
100,True,1498754525
101,True,1498754529
102,True,1498754534
103,True,1498754538
104,True,1498754543
105,True,1498754547
106,False,1498754552
107,True,1498754556
108,True,1498754561
109,False,1498754565
110,False,1498754570
111,False,1498754574
112,True,1498754579
113,True,1498754583
114,False,1498754588
115,False,1498754592
116,False,1498754597
117,False,1498754601
118,False,1498754606
119,False,1498754610
120,False,1498754615
121,False,1498754619
122,False,1498754624
123,False,1498754628
124,False,1498754633
125,False,1498754637
126,False,1498754642
127,False,1498754647
128,False,1498754651
129,False,1498754656
130,True,1498754660
131,True,1498754665
132,True,1498754669
133,True,1498754674
134,True,1498754678
135,True,1498754683
136,True,1498754687
137,True,1498754692
138,True,1498754696
139,True,1498754701
140,True,1498754705
141,True,1498754710
142,False,1498754714
143,True,1498754719
144,True,1498754723
145,True,1498754728
146,True,1498754732
147,True,1498754737
148,True,1498754741
149,True,1498754746
150,True,1498754750
151,True,1498754755
152,True,1498754759
153,True,1498754764
154,False,1498754768
155,True,1498754773
156,True,1498754777
157,False,1498754782
158,False,1498754786
159,True,1498754791
160,True,1498754795
161,True,1498754800
162,False,1498754804
163,False,1498754809
164,False,1498754813
165,True,1498754818
166,False,1498754822
167,True,1498754827
168,False,1498754831
169,False,1498754835
170,False,1498754840
171,False,1498754844
172,False,1498754849
173,False,1498754853
174,False,1498754858
175,False,1498754863
176,False,1498754867
177,False,1498754872
178,False,1498754876
179,False,1498754880
180,False,1498754885
181,True,1498754889
182,True,1498754894
183,True,1498754898
184,False,1498754903
185,True,1498754907
186,True,1498754912
187,True,1498754916
188,True,1498754921
189,True,1498754925
190,True,1498754930
191,True,1498754934
192,True,1498754939
193,False,1498754943
194,True,1498754948
195,True,1498754952
196,True,1498754957
197,True,1498754961
198,True,1498754966
199,True,1498754970
200,True,1498754975
201,True,1498754979
202,True,1498754984
203,True,1498754988
204,True,1498754993
205,False,1498754997
206,False,1498755002
207,True,1498755006
208,False,1498755011
209,False,1498755015
210,False,1498755020
211,False,1498755024
212,False,1498755029
213,False,1498755033
214,False,1498755038
215,False,1498755043
216,False,1498755047
217,False,1498755052
218,False,1498755056
219,False,1498755061
220,False,1498755065
221,False,1498755070
222,False,1498755074
223,False,1498755079
224,False,1498755083
225,False,1498755088
226,False,1498755092
227,False,1498755097
228,False,1498755101
229,False,1498755106
230,False,1498755110
231,False,1498755115
232,False,1498755119
233,False,1498755123
234,True,1498755128
235,True,1498755133
236,True,1498755137
237,True,1498755142
238,True,1498755146
239,True,1498755150
240,True,1498755155
241,True,1498755159
242,True,1498755164
243,True,1498755168
244,True,1498755173
245,True,1498755178
246,True,1498755182
247,True,1498755187
248,True,1498755191
249,True,1498755196
250,True,1498755200
251,True,1498755205
252,True,1498755209
253,True,1498755214
254,True,1498755218
255,True,1498755223
256,True,1498755227
257,True,1498755232
258,True,1498755236
259,True,1498755241
260,True,1498755245
261,True,1498755250
262,False,1498755254
263,False,1498755259
264,False,1498755263
265,True,1498755268
266,True,1498755272
267,False,1498755277
268,False,1498755281
269,False,1498755286
270,False,1498755290
271,False,1498755295
272,False,1498755299
273,True,1498755304
274,True,1498755308
275,False,1498755313
276,False,1498755317
277,False,1498755322
278,False,1498755326
279,False,1498755331
280,False,1498755335
281,False,1498755340
282,False,1498755344
283,False,1498755349
284,False,1498755353
285,False,1498755358
286,False,1498755362
287,False,1498755367
288,False,1498755371
289,False,1498755376
290,False,1498755380
291,False,1498755385
292,False,1498755389
293,False,1498755394
294,False,1498755398
295,False,1498755403
296,False,1498755407
297,False,1498755412
298,False,1498755416
299,True,1498755421
300,True,1498755425
301,True,1498755430
302,True,1498755434
303,True,1498755439
304,True,1498755443
305,True,1498755448
306,True,1498755452
307,True,1498755457
308,True,1498755461
309,True,1498755466
310,True,1498755470
311,True,1498755475
312,True,1498755479
313,True,1498755483
314,True,1498755488
315,True,1498755492
316,True,1498755497
317,True,1498755502
318,True,1498755506
319,True,1498755511
320,True,1498755515
321,True,1498755520
322,True,1498755524
323,True,1498755529
324,True,1498755533
325,True,1498755538
326,True,1498755542
327,False,1498755547
328,False,1498755551
329,True,1498755555
330,True,1498755560
331,False,1498755564
332,False,1498755569
333,False,1498755573
334,False,1498755578
335,False,1498755582
336,False,1498755587
337,False,1498755591
338,False,1498755596
339,True,1498755601
340,True,1498755605
341,False,1498755610
342,False,1498755614
343,False,1498755618
344,False,1498755623
345,False,1498755627
346,False,1498755632
347,False,1498755636
348,False,1498755641
349,False,1498755645
350,False,1498755650
351,False,1498755654
352,False,1498755659
353,False,1498755663
354,False,1498755668
355,False,1498755672
356,False,1498755677
357,False,1498755681
358,False,1498755686
359,False,1498755690
360,False,1498755695
361,False,1498755699
362,False,1498755704
363,False,1498755708
364,False,1498755713
365,False,1498755717
366,False,1498755722
367,False,1498755726
368,True,1498755731
369,True,1498755735
370,True,1498755740
371,True,1498755744
372,True,1498755749
373,True,1498755753
374,True,1498755758
375,True,1498755762
376,True,1498755767
377,True,1498755771
378,True,1498755776
379,True,1498755780
380,True,1498755785
381,True,1498755789
382,True,1498755794
383,True,1498755799
384,True,1498755803
385,True,1498755808
386,True,1498755812
387,True,1498755817
388,True,1498755821
389,True,1498755826
390,True,1498755830
391,True,1498755834
392,True,1498755839
393,True,1498755843
394,True,1498755848
395,True,1498755853
396,True,1498755857
397,True,1498755861
398,True,1498755866
399,True,1498755870
400,True,1498755875
401,False,1498755879
402,True,1498755884
403,True,1498755888
404,False,1498755893
405,False,1498755897
406,False,1498755902
407,False,1498755906
408,False,1498755911
409,False,1498755915
410,False,1498755920
411,False,1498755924
412,False,1498755929
413,True,1498755933
414,True,1498755938
415,False,1498755942
416,False,1498755947
417,False,1498755951
418,False,1498755956
419,False,1498755960
420,False,1498755965
421,False,1498755969
422,False,1498755974
423,False,1498755978
424,False,1498755983
425,False,1498755987
426,False,1498755992
427,False,1498755996
428,False,1498756001
429,False,1498756005
430,False,1498756010
431,False,1498756014
432,False,1498756019
433,False,1498756023
434,False,1498756028
435,False,1498756032
436,False,1498756037
437,False,1498756041
438,False,1498756046
439,True,1498756050
440,True,1498756055
441,True,1498756059
442,True,1498756064
443,True,1498756068
444,True,1498756073
445,True,1498756077
446,True,1498756081
447,True,1498756086
448,True,1498756091
449,True,1498756095
450,True,1498756099
451,True,1498756104
452,True,1498756108
453,True,1498756113
454,True,1498756117
455,True,1498756122
456,True,1498756126
457,True,1498756131
458,True,1498756135
459,True,1498756140
460,True,1498756144
461,True,1498756149
462,True,1498756153
463,True,1498756158
464,True,1498756162
465,True,1498756167
466,True,1498756171
467,True,1498756176
468,True,1498756180
469,True,1498756185
470,True,1498756190
471,False,1498756194
472,True,1498756198
473,True,1498756203
474,False,1498756208
475,False,1498756212
476,True,1498756217
477,True,1498756221
478,False,1498756226
479,False,1498756230
480,False,1498756235
481,False,1498756239
482,True,1498756244
483,False,1498756248
484,False,1498756253
485,True,1498756257
486,False,1498756262
487,False,1498756266
488,False,1498756271
489,False,1498756275
490,False,1498756280
491,True,1498756284
492,True,1498756289
493,False,1498756293
494,False,1498756298
495,False,1498756302
496,False,1498756307
497,False,1498756311
498,False,1498756316
499,False,1498756321
500,False,1498756325
501,True,1498756330
502,True,1498756334
503,False,1498756339
504,False,1498756343
505,False,1498756348
506,False,1498756352
507,False,1498756357
508,False,1498756361
509,False,1498756366
510,False,1498756370
511,False,1498756375
512,False,1498756379
513,False,1498756384
514,False,1498756388
515,False,1498756393
516,False,1498756397
517,False,1498756402
518,False,1498756406
519,False,1498756411
520,False,1498756416
521,False,1498756420
522,False,1498756425
523,False,1498756429
524,False,1498756434
525,False,1498756438
526,False,1498756443
527,False,1498756447
528,False,1498756452
529,False,1498756456
530,False,1498756461
531,False,1498756465
532,False,1498756470
533,False,1498756474
534,False,1498756479
535,False,1498756483
536,False,1498756488
537,False,1498756492
538,False,1498756497
539,False,1498756502
540,False,1498756506
541,False,1498756511
542,False,1498756515
543,False,1498756520
544,False,1498756524
545,False,1498756529
546,False,1498756533
547,False,1498756538
548,False,1498756542
549,False,1498756547
550,False,1498756551
551,False,1498756556
552,False,1498756560
553,False,1498756565
554,False,1498756569
555,False,1498756574
556,False,1498756578
557,False,1498756583
558,False,1498756587
559,False,1498756592
560,False,1498756596
561,False,1498756601
562,False,1498756605
563,True,1498756610
564,False,1498756614
565,False,1498756619
566,False,1498756623
567,False,1498756628
568,False,1498756632
569,False,1498756637
570,False,1498756641
571,False,1498756646
572,False,1498756650
573,False,1498756655
574,False,1498756660
575,False,1498756664
576,False,1498756669
577,False,1498756673
578,False,1498756678
579,False,1498756682
580,False,1498756687
581,False,1498756691
582,False,1498756696
583,False,1498756700
584,False,1498756705
585,False,1498756709
586,False,1498756714
587,False,1498756718
588,False,1498756723
589,False,1498756727
590,False,1498756732
591,False,1498756737
592,False,1498756741
593,False,1498756746
594,False,1498756750
595,False,1498756755
596,False,1498756759
597,False,1498756764
598,False,1498756768
599,False,1498756773
600,False,1498756777
601,False,1498756782
602,False,1498756786
603,False,1498756791
604,False,1498756795
605,False,1498756800
606,False,1498756804
607,False,1498756809
608,False,1498756813
609,False,1498756818
610,False,1498756822
611,False,1498756827
612,True,1498756831
613,True,1498756836
614,False,1498756841
615,False,1498756845
616,False,1498756850
617,False,1498756854
618,False,1498756859
619,False,1498756863
620,False,1498756868
621,False,1498756872
622,False,1498756877
623,False,1498756881
624,True,1498756886
625,True,1498756890
626,False,1498756895
627,False,1498756899
628,False,1498756904
629,False,1498756908
630,False,1498756913
631,False,1498756917
632,False,1498756922
633,True,1498756926
634,False,1498756931
635,False,1498756935
636,False,1498756940
637,False,1498756944
638,False,1498756949
639,False,1498756953
640,False,1498756958
641,False,1498756963
642,False,1498756967
643,False,1498756972
644,False,1498756976
645,False,1498756981
646,False,1498756985
647,False,1498756990
648,True,1498756994
649,False,1498756999
650,False,1498757003
651,False,1498757008
652,False,1498757012
653,False,1498757017
654,True,1498757021
655,False,1498757026
656,False,1498757030
657,False,1498757035
658,False,1498757039
659,False,1498757044
660,False,1498757049
661,False,1498757053
662,False,1498757058
663,False,1498757062
