,result,time
0,False,1504285747
1,False,1504285753
2,False,1504285758
3,False,1504285764
4,False,1504285769
5,False,1504285775
6,False,1504285780
7,False,1504285786
8,False,1504285791
9,False,1504285797
10,False,1504285803
11,False,1504285808
12,False,1504285814
13,False,1504285819
14,False,1504285825
15,False,1504285830
16,False,1504285836
17,False,1504285841
18,False,1504285847
19,False,1504285852
20,False,1504285858
21,False,1504285863
22,False,1504285869
23,False,1504285874
24,False,1504285880
25,False,1504285885
26,False,1504285891
27,False,1504285896
28,False,1504285902
29,False,1504285907
30,False,1504285913
31,False,1504285918
32,False,1504285924
33,False,1504285929
34,False,1504285935
35,False,1504285940
36,False,1504285946
37,False,1504285952
38,False,1504285957
39,False,1504285963
40,False,1504285968
41,False,1504285974
42,False,1504285979
43,False,1504285985
44,False,1504285990
45,False,1504285996
46,False,1504286001
47,False,1504286007
48,False,1504286012
49,False,1504286018
50,False,1504286023
51,False,1504286029
52,False,1504286034
53,False,1504286040
54,False,1504286045
55,False,1504286051
56,False,1504286056
57,False,1504286062
58,False,1504286067
59,False,1504286073
60,False,1504286078
61,False,1504286084
62,False,1504286089
63,False,1504286095
64,False,1504286100
65,False,1504286106
66,False,1504286111
67,False,1504286117
68,False,1504286122
69,False,1504286128
70,False,1504286134
71,False,1504286139
72,False,1504286145
73,False,1504286150
74,False,1504286156
75,False,1504286161
76,False,1504286167
77,False,1504286172
78,False,1504286178
79,False,1504286183
80,False,1504286189
81,False,1504286194
82,False,1504286200
83,False,1504286205
84,False,1504286211
85,False,1504286216
86,False,1504286222
87,False,1504286227
88,False,1504286233
89,False,1504286238
90,False,1504286244
91,False,1504286249
92,False,1504286255
93,False,1504286260
94,False,1504286266
95,False,1504286271
96,False,1504286277
97,False,1504286282
98,False,1504286288
99,False,1504286293
100,False,1504286299
101,False,1504286304
102,False,1504286310
103,False,1504286315
104,False,1504286321
105,False,1504286327
106,False,1504286332
107,False,1504286338
108,False,1504286343
109,False,1504286349
110,False,1504286354
111,False,1504286360
112,False,1504286365
113,False,1504286371
114,False,1504286376
115,False,1504286382
116,False,1504286387
117,False,1504286393
118,False,1504286398
119,False,1504286404
120,False,1504286409
121,False,1504286415
122,False,1504286420
123,False,1504286426
124,False,1504286431
125,False,1504286437
126,False,1504286442
127,False,1504286448
128,False,1504286453
129,False,1504286459
