,Time,HundredGigE0/0/0/8packets-received,HundredGigE0/0/0/13bytes-received,HundredGigE0/0/0/13bytes-sent,HundredGigE0/0/0/0packets-sent,HundredGigE0/0/0/31packets-received,HundredGigE0/0/0/6bytes-sent,HundredGigE0/0/0/14bytes-received,HundredGigE0/0/0/10packets-received,HundredGigE0/0/0/0output-drops,HundredGigE0/0/0/0bytes-sent,HundredGigE0/0/0/15packets-received,HundredGigE0/0/0/16bytes-sent,HundredGigE0/0/0/0packets-received,HundredGigE0/0/0/9packets-received,HundredGigE0/0/0/3packets-sent,HundredGigE0/0/0/31bytes-received,HundredGigE0/0/0/14packets-received,HundredGigE0/0/0/31packets-sent,HundredGigE0/0/0/2packets-sent,HundredGigE0/0/0/9packets-sent,HundredGigE0/0/0/10packets-sent,HundredGigE0/0/0/12bytes-sent,HundredGigE0/0/0/4packets-received,HundredGigE0/0/0/11packets-received,HundredGigE0/0/0/13output-packet-rate,HundredGigE0/0/0/8bytes-sent,HundredGigE0/0/0/18bytes-received,HundredGigE0/0/0/17packets-received,backup-routes-count,HundredGigE0/0/0/18packets-sent,HundredGigE0/0/0/7packets-sent,HundredGigE0/0/0/17bytes-sent,HundredGigE0/0/0/1packets-received,HundredGigE0/0/0/8packets-sent,HundredGigE0/0/0/7bytes-received,HundredGigE0/0/0/9bytes-received,HundredGigE0/0/0/6bytes-received,protocol-route-memory,HundredGigE0/0/0/10bytes-sent,HundredGigE0/0/0/14packets-sent,HundredGigE0/0/0/5packets-received,HundredGigE0/0/0/2packets-received,HundredGigE0/0/0/6packets-received,HundredGigE0/0/0/16packets-received,HundredGigE0/0/0/1output-drops,HundredGigE0/0/0/31output-drops,HundredGigE0/0/0/13packets-sent,HundredGigE0/0/0/11bytes-sent,HundredGigE0/0/0/30bytes-received,HundredGigE0/0/0/6packets-sent,HundredGigE0/0/0/8bytes-received,HundredGigE0/0/0/17bytes-received,HundredGigE0/0/0/3packets-received,HundredGigE0/0/0/2bytes-sent,HundredGigE0/0/0/5bytes-received,HundredGigE0/0/0/15packets-sent,HundredGigE0/0/0/18packets-received,HundredGigE0/0/0/19bytes-sent,HundredGigE0/0/0/16packets-sent,HundredGigE0/0/0/1bytes-received,HundredGigE0/0/0/15bytes-sent,HundredGigE0/0/0/7packets-received,HundredGigE0/0/0/5bytes-sent,HundredGigE0/0/0/31bytes-sent,HundredGigE0/0/0/30packets-sent,HundredGigE0/0/0/1bytes-sent,HundredGigE0/0/0/12packets-sent,HundredGigE0/0/0/19packets-sent,performance-statistics__vrf__inbound-update-messages,HundredGigE0/0/0/11bytes-received,HundredGigE0/0/0/4bytes-received,HundredGigE0/0/0/2bytes-received,HundredGigE0/0/0/15bytes-received,HundredGigE0/0/0/5packets-sent,HundredGigE0/0/0/17packets-sent,HundredGigE0/0/0/1packets-sent,HundredGigE0/0/0/30packets-received,HundredGigE0/0/0/3bytes-received,HundredGigE0/0/0/30output-drops,HundredGigE0/0/0/16bytes-received,HundredGigE0/0/0/10bytes-received,HundredGigE0/0/0/3bytes-sent,HundredGigE0/0/0/1output-packet-rate,HundredGigE0/0/0/11packets-sent,HundredGigE0/0/0/13packets-received,HundredGigE0/0/0/19packets-received,HundredGigE0/0/0/4bytes-sent,HundredGigE0/0/0/9bytes-sent,HundredGigE0/0/0/7bytes-sent,HundredGigE0/0/0/30bytes-sent,HundredGigE0/0/0/12packets-received,HundredGigE0/0/0/4packets-sent,HundredGigE0/0/0/12bytes-received,HundredGigE0/0/0/19bytes-received,HundredGigE0/0/0/14bytes-sent,HundredGigE0/0/0/18bytes-sent
0,1519089518,-1.7340268623875192,-1.7400517523730195,-1.749698302303415,-1.7358083277273222,-1.7337663742680953,-1.7278018027446476,-1.7234440810240923,-1.7389841895216018,-1.7436109232705386,-1.733726435273262,-1.7194766732907778,-1.7136375792165621,-1.734778141457813,-1.7406201041054827,-1.7162969113446056,-1.734865924691657,-1.728668512972787,-1.733446947312119,-1.7357951244501892,-1.7430777109605582,-1.7387180014810233,-1.7421306366159168,-1.752727195409086,-1.7387028000289553,0.30329725361333826,-1.7502755678795257,-1.721445037045044,-1.7081094357331,0.04556453176212758,-1.7321180308289,-1.7321786011480278,-1.7128041797346039,-1.7346711140193518,-1.7503150811442036,-1.758978139943291,-1.7314783074077462,-1.7361021180684197,0.056297157443045316,-1.7393970952104323,-1.754257480107925,-1.7517215987520933,-1.7280668797028726,-1.7435904867332237,-1.7292435384877902,-1.764677941865637,-1.7433942160839362,-1.7504093917404604,-1.7506251396631263,-1.737762677654814,-1.7316976693720272,-1.7284323785703537,-1.7082059975794286,-1.7340385899749353,-1.7360507884604135,-1.7500743840707194,-1.7339769245892125,-1.7178395054006357,-1.726064647292613,-1.7174739098996776,-1.7327415224920282,-1.7298975051741747,-1.7612349378943866,-1.7268388886084285,-1.733077222126327,-1.7419320280889126,-1.7364583920511796,-1.7417583665999667,-1.7284146116811976,-1.3867522052633134,-1.7339282511231764,-1.751052037376338,-1.7276767212723645,-1.6914563837774181,-1.7269971745900288,-1.7227397326949765,-1.738371550096747,-1.7428388628423879,-1.734560942991353,-1.788619544516812,-1.7254965608596737,-1.731186206638705,-1.718143775263694,0.27742145068925317,-1.747552703306536,-1.7446045166015867,-1.717841577956262,-1.7186073101661308,-1.7421905265393638,-1.730298011657491,-1.736635899766829,-1.7384348467967539,-1.7234319660181787,-1.7282254699400836,-1.715032800036137,-1.755654484810307,-1.7305747977247576
1,1519089524,-1.7326019893708393,-1.7387039181695403,-1.7482243263679644,-1.734375482037905,-1.7323478806125592,-1.726423807304184,-1.7220188098289464,-1.737528677794549,-1.7421950127424604,-1.7322990306925843,-1.7181531448104728,-1.7122890697471715,-1.733373771049325,-1.7392091576766486,-1.7144348736291852,-1.7334465378867874,-1.727267479023673,-1.7320299129944072,-1.7272659545317914,-1.7416219859794346,-1.7372988014401254,-1.7406774466773247,-1.751252608667178,-1.737264798756588,0.32377666012139705,-1.7489014516744368,-1.7200354265800872,-1.706770673046844,0.04556453176212758,-1.730694119346968,-1.7307618603710444,-1.711539027537409,-1.733269184264924,-1.7489470364717663,-1.7574581875978763,-1.7301081362431892,-1.7347070286407884,0.056297157443045316,-1.7379692493647287,-1.7528065449948393,-1.7503181682372884,-1.7280668797028726,-1.7421734491991632,-1.7277941161709853,-1.7636030530065423,-1.7419722213926458,-1.7489419754586883,-1.7492570210974645,-1.7363335741171302,-1.7303127882814853,-1.7270151890993322,-1.7068806370576741,-1.7340385899749353,-1.726764060060078,-1.748676382528115,-1.7326511472549257,-1.716430634062298,-1.7246356403366272,-1.7161058232449962,-1.7313423032482362,-1.7285721504339202,-1.7597230979063878,-1.7254469998991955,-1.7316614642349417,-1.7405005170516683,-1.7350484898033771,-1.740313817477716,-1.726971222766721,-1.3867522052633134,-1.7324757928178003,-1.7495605901517957,-1.7276767212723645,-1.690267233010074,-1.7256195251512831,-1.7214149744912075,-1.736950998062215,-1.7414042047339577,-1.734560942991353,-1.7872446651965523,-1.7240521796989383,-1.7298081437151709,-1.716616693653207,0.2714251307954203,-1.7461817254201442,-1.743216988054738,-1.7163358872894316,-1.717204800052297,-1.740728810242176,-1.728871831617247,-1.7352121734766743,-1.737099862112519,-1.7220179223600833,-1.726984169530052,-1.713460149111069,-1.754191442265643,-1.7291671289970074
2,1519089529,-1.7301760169829579,-1.7363678186164424,-1.745809336137735,-1.7319382164964734,-1.729967868981818,-1.7241568198498727,-1.7197170426058939,-1.7350968089106495,-1.7395327167275274,-1.7298737907266137,-1.7158247591059523,-1.7099695422372077,-1.7309814563503967,-1.7368013581248425,-1.7144348736291852,-1.7310448254769464,-1.7249717647353355,-1.7296324319250487,-1.7187367846133936,-1.7391637624179914,-1.7349068878165577,-1.73827128484537,-1.7487512720763827,-1.7349166948198973,0.29689669964403737,-1.7465195549368273,-1.7175091471122195,-1.704504100935084,0.04556453176212758,-1.7282309020349786,-1.7283791996397477,-1.7091889093586057,-1.7308551580812332,-1.7465767266975423,-1.7549756397882874,-1.727712284746238,-1.73226375957445,0.056297157443045316,-1.7355580298177602,-1.7503116375639145,-1.7478503155060199,-1.7280668797028726,-1.7397090911752269,-1.7252949642138131,-1.761463952992251,-1.7396936614930218,-1.7465180849528834,-1.7467774705529573,-1.7339174362341176,-1.7280333242101606,-1.7246207648472338,-1.7046685860591435,-1.7255074771573125,-1.7186115885636002,-1.7462261110746724,-1.7303157245182392,-1.7139195166322716,-1.7222434904584494,-1.7137933986581535,-1.7289463721224707,-1.7262728852696927,-1.757239576929627,-1.7230746408222537,-1.7292651449142975,-1.7380810951849486,-1.732587044350979,-1.7379000617529359,-1.7245513822915712,-1.3867522052633134,-1.7301404679504964,-1.7470374789298562,-1.7276767212723645,-1.6880719984848587,-1.7232725417159604,-1.7190287770309236,-1.734487565044229,-1.7389807386342504,-1.724149110249376,-1.7849939154465033,-1.7215135790564635,-1.727462504948431,-1.716616693653207,0.3140122097947038,-1.7437219121564689,-1.7408598365762582,-1.7137360495091927,-1.714798938074776,-1.7382669876644292,-1.7264762076234894,-1.7327986092407337,-1.734805702280522,-1.7196011803453812,-1.7247864474294523,-1.7107683643939253,-1.751681517222567,-1.7267261147285926
3,1519089535,-1.727826844382041,-1.733993635857722,-1.7433293673660277,-1.7294970212928409,-1.727560476246488,-1.7219661954104672,-1.7174376447802382,-1.7327132606867328,-1.7369502073833494,-1.7274447425799175,-1.7135629574782847,-1.707682208139075,-1.7285755171594006,-1.7343693510684361,-1.7125728359137649,-1.7286315048231764,-1.722680689345468,-1.7272315934969555,-1.7187367846133936,-1.7367010356597778,-1.7324484776658402,-1.7358216685427215,-1.7462880724039613,-1.7324786887953607,0.3148206169517838,-1.7441592995089332,-1.7150582650589818,-1.702168083709232,0.04556453176212758,-1.7257758567224757,-1.7259783392142825,-1.7068442924314882,-1.7284322404429346,-1.7442216648063809,-1.7524603535220358,-1.7252995108078597,-1.729864316976827,0.056297157443045316,-1.7330930975150132,-1.7478282177948474,-1.7453537256526748,-1.7195331724140894,-1.7372994207272352,-1.7228542326710787,-1.7584919920738926,-1.7374247461390593,-1.7440388936161297,-1.744290580816649,-1.7314970839707287,-1.725773440928442,-1.722322470013959,-1.7023322005127492,-1.7169763643396896,-1.7186115885636002,-1.743734423494163,-1.7279806889626157,-1.7114909181723004,-1.7198020811865262,-1.7114847300007128,-1.7265453130098098,-1.7239855779963453,-1.754715343991885,-1.7206894050808712,-1.7268642232782634,-1.7356555534179305,-1.7301652847702276,-1.7354448213190894,-1.7221031335512236,-1.3867522052633134,-1.7276922313596288,-1.7445776088157674,-1.719519949212441,-1.6860200543695356,-1.7208987487330238,-1.7166387879031273,-1.7320544772072073,-1.7365525521916527,-1.7165535929212123,-1.7826541072531072,-1.719070346086559,-1.7251918795448686,-1.7136897872331067,0.30907251014648024,-1.7412543250292474,-1.738448978679344,-1.7110869009765084,-1.7124605966796167,-1.7357858867003244,-1.7240609995989684,-1.7303817835390065,-1.7325021467316466,-1.7172306403464612,-1.7225708139721978,-1.708023886026842,-1.7491856175637237,-1.724301760873734
4,1519089540,-1.7254170540089,-1.7315805971947897,-1.7408216994595145,-1.7270617615050858,-1.7251508190639941,-1.7196600279570446,-1.7150464062864013,-1.7302281978357235,-1.7337771728317632,-1.7250148419659106,-1.7112574256062085,-1.7053396431189738,-1.7261675469693079,-1.731948533651072,-1.7125728359137649,-1.7262176267435365,-1.7203202227555257,-1.7248209895905782,-1.7187367846133936,-1.7342846718534242,-1.729985639993117,-1.7333463954256674,-1.7438031479946132,-1.7300196619220691,0.33657776805999884,-1.7418030168896526,-1.712667924886728,-1.6999271915696892,0.04556453176212758,-1.723364648383107,-1.7235804275096094,-1.7045062980546442,-1.72602757276596,-1.7418806227634298,-1.749990674820868,-1.722894819846446,-1.7274151673697293,0.056297157443045316,-1.7306167769066965,-1.7453592357778116,-1.7428372326710606,-1.7195331724140894,-1.7348336907496655,-1.7203676498361604,-1.7550680083571732,-1.734749008494597,-1.7415506107249679,-1.7418775520548408,-1.7290759826966537,-1.7234363254136913,-1.7199408474336175,-1.7001123437648569,-1.7169763643396896,-1.7186115885636002,-1.7412282106282644,-1.7256534157779448,-1.709115806459313,-1.717323050375781,-1.7091202429495762,-1.7241455766845601,-1.7216672597909244,-1.7522370493422246,-1.7183128872402855,-1.7244631736438385,-1.733230370018639,-1.7276801327836526,-1.7329693152676129,-1.7196408331766333,-1.3867522052633134,-1.7252116681859726,-1.7421075629375682,-1.719519949212441,-1.6838757502540902,-1.718529352538331,-1.7142615641375498,-1.7295782477575088,-1.7341282377736724,-1.7165535929212123,-1.7800377954737456,-1.716571745197433,-1.7227414724679004,-1.7136897872331067,0.35368301691610554,-1.7388349213626095,-1.7360242123277472,-1.708465345126852,-1.7101394059058568,-1.7333751040012575,-1.721660130347318,-1.727964856105784,-1.7302194865024987,-1.7148856747091228,-1.7204252905841353,-1.7053308600407067,-1.746715297345119,-1.7219256705669739
5,1519089546,-1.7223420237677536,-1.7285059317917248,-1.737677755087944,-1.7239572285916884,-1.7220816807162427,-1.7167682032103047,-1.7120987537988661,-1.727105450221067,-1.7304823813975831,-1.721919573494196,-1.7083878421474434,-1.7023842198713852,-1.7231097146690204,-1.7289276154357915,-1.7125728359137649,-1.7231467338809419,-1.7173630133245312,-1.7217577015545975,-1.7187367846133936,-1.7311781012322771,-1.7268937746728243,-1.7302476085356873,-1.7406613848921118,-1.7269391053982748,0.3309935509185755,-1.7387138063140701,-1.7096035946415624,-1.6970000074636313,0.04556453176212758,-1.7201957416859548,-1.7205541354849412,-1.701566183569855,-1.7229598857006132,-1.7387953864073333,-1.7467993201536869,-1.719936018982879,-1.7242360746831362,0.056297157443045316,-1.7275116425420443,-1.7421628657866595,-1.7396846590429202,-1.7195331724140894,-1.7316638156092512,-1.7172397882393768,-1.7518967302993802,-1.732037955498857,-1.7384208024945889,-1.7388086317272258,-1.7259910986331621,-1.7205196469133082,-1.7168790455329719,-1.6971815276434672,-1.7169763643396896,-1.7186115885636002,-1.7380908819205194,-1.7226346737762686,-1.7060424951337871,-1.714226399606023,-1.7061513785395304,-1.7210913516350679,-1.7186591618386502,-1.749053542825812,-1.7153848511327099,-1.721407294942661,-1.730147638207364,-1.7245567233185064,-1.7298804365543878,-1.7165366672211204,-1.3867522052633134,-1.7221388545547154,-1.7390170466480592,-1.719519949212441,-1.6812048028239355,-1.7155884585138044,-1.7112493074583108,-1.7264477157230362,-1.731057626359287,-1.7165535929212123,-1.7772949010215473,-1.7134656316098746,-1.7196476676046712,-1.7136897872331067,0.3774728217459993,-1.7357738236961664,-1.7329166572898314,-1.7052007470549835,-1.7071557815007683,-1.730239696648175,-1.7186153123147583,-1.724887355504584,-1.7272927869966728,-1.711875847906461,-1.7176224601849763,-1.7019440787233957,-1.7434880843849705,-1.7187907547621182
6,1519089552,-1.7205942553572098,-1.7268044261266944,-1.7358980130144703,-1.7221899851000972,-1.7203211995168612,-1.7151051404982292,-1.7104053246523463,-1.7253004276010626,-1.7283227760230127,-1.7201557612963994,-1.7066904501482798,-1.700721968422927,-1.7213608067308332,-1.7271884742058536,-1.7125728359137649,-1.7213909059589185,-1.7156702674937883,-1.7200133446359902,-1.7187367846133936,-1.7293721711592405,-1.7251470759194154,-1.7284684143870699,-1.7388333572324026,-1.7252039225990439,0.3277163726385453,-1.736908150330672,-1.7078877733930276,-1.6952671236965342,0.04556453176212758,-1.7184288670636212,-1.7188264218989244,-1.6998648434143435,-1.7212091635775464,-1.7370066796510384,-1.7450151174501993,-1.7182115049599076,-1.7225111943029134,0.056297157443045316,-1.7257512685441152,-1.740369300750266,-1.7379146845308553,-1.7195331724140894,-1.7299091015149581,-1.7154151881952562,-1.7483908841861073,-1.730253738542899,-1.736634340803485,-1.7370339300886382,-1.7242323031354045,-1.7188271460011093,-1.7151297139769743,-1.6954277435268048,-1.7169763643396896,-1.7186115885636002,-1.7363325060361214,-1.7209323005152941,-1.704326025264869,-1.7124377904290642,-1.7044568127144557,-1.7193459874301174,-1.7169815452056254,-1.7472444274540189,-1.713650970278993,-1.719664457081115,-1.7283871317057828,-1.7227807114175941,-1.7281108369377856,-1.7147445474355103,-1.3867522052633134,-1.7203830752639429,-1.7371839149260664,-1.719519949212441,-1.679706975133341,-1.7138540435913108,-1.7095236458942067,-1.7246641551861361,-1.7292943410502561,-1.7165535929212123,-1.7754349875942197,-1.711630043165596,-1.7178737149873313,-1.7136897872331067,0.38308347525018477,-1.7339936046813127,-1.7311675853245156,-1.7032942831786737,-1.705407375109772,-1.7284148084609818,-1.716883154883807,-1.7231336970543363,-1.725580341382689,-1.7101129371324473,-1.7159563785244392,-1.6999517344661865,-1.7416807168061206,-1.7170675119566317
7,1519089557,-1.7182329277060366,-1.7244125529498446,-1.7335086014865726,-1.7197800227180597,-1.717945228209983,-1.7128127518942027,-1.708091398029927,-1.7228548593356083,-1.7257059982172087,-1.717744083716,-1.7043979786119476,-1.6984186033859663,-1.7189846687214878,-1.7248550574666275,-1.7125728359137649,-1.7190029481997429,-1.7133770545383078,-1.7176332119973154,-1.7102076146949958,-1.7269331528091336,-1.7226953157372509,-1.7260325488297716,-1.7362821563131337,-1.7228816153050395,0.2890409365467808,-1.7345569974587836,-1.7054426043469044,-1.6930053719100364,0.04556453176212758,-1.7160760101304304,-1.716461278416937,-1.697520244689025,-1.7188228391725202,-1.734652282404533,-1.7425044980382307,-1.715937970213254,-1.720176747342511,0.056297157443045316,-1.723282659056906,-1.7379546103987897,-1.7354519863648619,-1.7195331724140894,-1.7275213779441974,-1.712987639049337,-1.7448102941455463,-1.7278987900030114,-1.7342452010056462,-1.734626613487576,-1.7218368265154125,-1.7165270449432066,-1.7127683156520972,-1.6931828927513437,-1.7169763643396896,-1.7104591170671224,-1.7338668598982616,-1.7185863517036009,-1.7019149316326536,-1.7099483779208084,-1.7021329457498928,-1.716969759094373,-1.7146579357504153,-1.744718071357969,-1.71132828915926,-1.7172878616635403,-1.7259789721759908,-1.720354657115656,-1.7256936652354533,-1.7122500660857638,-1.3867522052633134,-1.7180798214560518,-1.7346293157058559,-1.719519949212441,-1.6776365945037486,-1.711536297803523,-1.7071492730187274,-1.7222302858423144,-1.726892591566029,-1.7165535929212123,-1.773109048581329,-1.7092020783557689,-1.7154915544419562,-1.7136897872331067,0.3948119599764482,-1.7315860031917203,-1.728772843427974,-1.700729804764766,-1.7031030374044187,-1.7259454656023832,-1.714511934805452,-1.720741770049075,-1.7233056578752033,-1.70778245380927,-1.7137735301345685,-1.6973143447734826,-1.7392595398258535,-1.7147425037740667
8,1519089563,-1.7157976815514049,-1.7220481947100086,-1.731075851340512,-1.7173379354296463,-1.7155342755463552,-1.7104389587520805,-1.7057591457914045,-1.7204363495053174,-1.723221967431945,-1.7153139494197853,-1.7020685328228378,-1.6961709949499804,-1.7165786940057701,-1.7224233745225652,-1.7125728359137649,-1.7165846313533561,-1.71106054315698,-1.7152286030838941,-1.7102076146949958,-1.7244587905591184,-1.7202753788629996,-1.7235970364117896,-1.733740828866856,-1.7204940703507023,0.2768905318767771,-1.7320507456637855,-1.7030653630431754,-1.6907953643883573,0.04556453176212758,-1.7136470763680678,-1.714065345336524,-1.695191528316125,-1.7163986136885214,-1.7321622050479932,-1.7399652413798754,-1.7135365942380316,-1.7177011393648045,0.056297157443045316,-1.7208452248169008,-1.7355049795259447,-1.7330142415671532,-1.7109994651253062,-1.7250361602377935,-1.7105698211277034,-1.742144427405606,-1.725609793841291,-1.7318064269107702,-1.7321735030642555,-1.7194151634566628,-1.7141643089134933,-1.710333433132372,-1.6910085098710934,-1.7084452515220667,-1.7104591170671224,-1.7314540600182544,-1.7163115392092843,-1.6995737869167118,-1.7074082172483256,-1.6998441223153162,-1.714569271103066,-1.7124104113553351,-1.7421823772806606,-1.7089768807454382,-1.71488712643293,-1.7235618145842255,-1.717932508395805,-1.7232541719278835,-1.7097151967503328,-1.3867522052633134,-1.7156934123274192,-1.7320780221308423,-1.711363177152517,-1.6755144686441878,-1.709181023034136,-1.7047698764081778,-1.719798943349647,-1.7244753611040782,-1.7089580755930487,-1.7707800118834525,-1.7067892860607654,-1.7131413220195455,-1.7136897872331067,0.3733467196868949,-1.7291430434823352,-1.726385795851964,-1.698123293497046,-1.7007879236223937,-1.7234528739950081,-1.7121117040282203,-1.7183241156290776,-1.7209796075611257,-1.7054304943020628,-1.7115159348694613,-1.6946632620844089,-1.736815933320841,-1.7123260719539697
9,1519089568,-1.713339063504828,-1.7195917262539753,-1.7286160692607622,-1.7148828736317123,-1.713115332158896,-1.7080920990942048,-1.7033934089004334,-1.7179392239193028,-1.7199941552636693,-1.7128754153831531,-1.6997288255085112,-1.6938686519610213,-1.7141615013441411,-1.7199606427804117,-1.7107107981983445,-1.7141650437848415,-1.7087184104361206,-1.7128237068579164,-1.7102076146949958,-1.7220085094130013,-1.7178238876695102,-1.7211922640359831,-1.7311962154234912,-1.7181571650991208,0.2708567379315951,-1.7296131456896706,-1.70071887290767,-1.6885498919921766,0.04556453176212758,-1.7111432996698346,-1.7116717511243011,-1.6928058172940301,-1.7139782728206137,-1.7297330197000909,-1.7374817298620064,-1.7111116837871352,-1.715150909873563,0.056297157443045316,-1.7183875126255932,-1.733039065084503,-1.7305760839555115,-1.7109994651253062,-1.7224845228899934,-1.7081884048591833,-1.738289776298322,-1.7227231237454472,-1.7293601397709324,-1.729752239642519,-1.716992096967089,-1.711803917052184,-1.7078739477422749,-1.6888204890034015,-1.7084452515220667,-1.7104591170671224,-1.7290407545453719,-1.7139737980736405,-1.697230198788806,-1.7049198862961885,-1.697507551547687,-1.7121662112722902,-1.710114473321492,-1.7396911105430657,-1.7066760242284602,-1.7124839712456865,-1.7211349357836838,-1.7155027890023538,-1.7208358212809844,-1.7072311288597617,-1.3867522052633134,-1.71334453106149,-1.729545452616997,-1.711363177152517,-1.6734329789166835,-1.7068516629540347,-1.7023667686166712,-1.717357160976059,-1.722039547392489,-1.7089580755930487,-1.7680692559129838,-1.7044187735999576,-1.7107126689150602,-1.7107628808130064,0.3646877167741266,-1.7267338214313508,-1.7239544944724032,-1.6955537354015868,-1.6983959011279168,-1.7210094482399025,-1.7097133807883935,-1.715906071342795,-1.7186365716829255,-1.7030251106440861,-1.7092801018464445,-1.6920198001825437,-1.734366695820457,-1.7098360284231406
