,Time,HundredGigE0/0/0/8packets-received,HundredGigE0/0/0/13bytes-received,HundredGigE0/0/0/13bytes-sent,HundredGigE0/0/0/0packets-sent,HundredGigE0/0/0/31packets-received,HundredGigE0/0/0/6bytes-sent,HundredGigE0/0/0/14bytes-received,HundredGigE0/0/0/10packets-received,HundredGigE0/0/0/0output-drops,HundredGigE0/0/0/0bytes-sent,HundredGigE0/0/0/15packets-received,HundredGigE0/0/0/16bytes-sent,HundredGigE0/0/0/0packets-received,HundredGigE0/0/0/9packets-received,HundredGigE0/0/0/31bytes-received,HundredGigE0/0/0/14packets-received,HundredGigE0/0/0/28packets-received,HundredGigE0/0/0/31packets-sent,HundredGigE0/0/0/9packets-sent,HundredGigE0/0/0/28bytes-sent,HundredGigE0/0/0/10packets-sent,HundredGigE0/0/0/4packets-received,HundredGigE0/0/0/11packets-received,HundredGigE0/0/0/8bytes-sent,HundredGigE0/0/0/18bytes-received,HundredGigE0/0/0/17packets-received,HundredGigE0/0/0/18packets-sent,HundredGigE0/0/0/7packets-sent,HundredGigE0/0/0/17bytes-sent,HundredGigE0/0/0/1packets-received,HundredGigE0/0/0/8packets-sent,HundredGigE0/0/0/7bytes-received,HundredGigE0/0/0/9bytes-received,HundredGigE0/0/0/6bytes-received,protocol-route-memory,HundredGigE0/0/0/10bytes-sent,HundredGigE0/0/0/28bytes-received,HundredGigE0/0/0/14packets-sent,HundredGigE0/0/0/5packets-received,HundredGigE0/0/0/6packets-received,HundredGigE0/0/0/16packets-received,HundredGigE0/0/0/1output-drops,HundredGigE0/0/0/31output-drops,HundredGigE0/0/0/13packets-sent,HundredGigE0/0/0/11bytes-sent,HundredGigE0/0/0/30bytes-received,HundredGigE0/0/0/6packets-sent,HundredGigE0/0/0/8bytes-received,HundredGigE0/0/0/17bytes-received,HundredGigE0/0/0/5bytes-received,HundredGigE0/0/0/15packets-sent,HundredGigE0/0/0/18packets-received,HundredGigE0/0/0/19bytes-sent,HundredGigE0/0/0/16packets-sent,HundredGigE0/0/0/1bytes-received,HundredGigE0/0/0/15bytes-sent,HundredGigE0/0/0/7packets-received,HundredGigE0/0/0/5bytes-sent,HundredGigE0/0/0/31bytes-sent,HundredGigE0/0/0/30packets-sent,HundredGigE0/0/0/1bytes-sent,HundredGigE0/0/0/18output-packet-rate,HundredGigE0/0/0/19output-packet-rate,HundredGigE0/0/0/19packets-sent,performance-statistics__vrf__inbound-update-messages,HundredGigE0/0/0/11bytes-received,HundredGigE0/0/0/4bytes-received,HundredGigE0/0/0/15bytes-received,HundredGigE0/0/0/5packets-sent,HundredGigE0/0/0/17packets-sent,HundredGigE0/0/0/1packets-sent,HundredGigE0/0/0/30packets-received,HundredGigE0/0/0/30output-drops,HundredGigE0/0/0/16bytes-received,HundredGigE0/0/0/10bytes-received,HundredGigE0/0/0/28packets-sent,HundredGigE0/0/0/11packets-sent,HundredGigE0/0/0/13packets-received,HundredGigE0/0/0/19packets-received,HundredGigE0/0/0/4bytes-sent,HundredGigE0/0/0/9bytes-sent,HundredGigE0/0/0/7bytes-sent,HundredGigE0/0/0/30bytes-sent,HundredGigE0/0/0/4packets-sent,HundredGigE0/0/0/19bytes-received,HundredGigE0/0/0/14bytes-sent,HundredGigE0/0/0/18bytes-sent
0,1519089522,-1.7441765831826939,-1.734382496355858,-1.7321705747097131,-1.7210566513306482,-1.7257792648984343,-1.7452855943138268,-1.755076712794749,-1.7335553105631714,-1.159447769155064,-1.7172771837159089,-1.7466111234798365,-1.674131620934082,-1.726573470753631,-1.7491277914708137,-1.7201734846173313,-1.7558674954224915,-1.8247717816815652,-1.730475478809552,-1.7212935812458776,-1.567425747710198,-1.7309800609107358,-1.7266018830912875,-1.7402678671459,-1.7295392957183007,-1.672030819100236,-1.6854540278947223,-1.7058336976060255,-1.7586296550053886,-1.7195846814111797,-1.7368082807107676,-1.7323038271755238,-1.7174396128265934,-1.7389944282491392,-1.7345908452464422,0.06233341456117085,-1.725889033723575,-1.7652266634294156,-1.743085954280577,-1.737710034860339,-1.73860368763291,-1.6991135779504973,-1.3526195973858899,-1.0130637786853869,-1.7345271014070027,-1.736788811209625,-1.728020842155686,-1.7472152086748356,-1.743007161299419,-1.681067486199406,-1.7340891582456643,-1.7193884222604092,-1.6810816103269084,-1.69000330567174,-1.6842233024238658,-1.7386518380033937,-1.7089959274415585,-1.7263658213070416,-1.7381750397205482,-1.7267534094000148,-1.7323334944773428,-1.7366184670792257,-0.04561947743081052,-0.1036161935711171,-1.6927386585554318,-1.4206441641739234,-1.7334524521229644,-1.7245360450874532,-1.7463502426878865,-1.741668991641337,-1.71982033101524,-1.7351528005340584,-1.7378363968018002,-1.3916962270187527,-1.7038317016909994,-1.7294742158190508,-1.551960465361092,-1.7353461259916516,-1.7390619906239044,-1.6764831302361978,-1.7255394916796731,-1.710512957088303,-1.7578723010169959,-1.7286944059499614,-1.7289243632530324,-1.6763747557757316,-1.7396156844075523,-1.7062357263348156
1,1519089527,-1.7409771918949204,-1.7312239155092315,-1.7290131653250922,-1.71792934067549,-1.722636921256335,-1.7421318792766372,-1.7517764495531871,-1.7303247835710913,-1.159447769155064,-1.7141755027062666,-1.7433658319956755,-1.671252279571678,-1.7234445818925117,-1.7458978632783653,-1.7170806018339357,-1.7525568802083182,-1.822660194118184,-1.727258115785379,-1.7181182565669233,-1.5664949079273593,-1.7278551345527264,-1.7234860439000035,-1.7370541798140817,-1.7265221867047624,-1.6689387417255985,-1.6823864514719626,-1.7027615803413823,-1.7552021578071735,-1.7162861706287267,-1.7336560303752724,-1.7292887704461426,-1.714348883313638,-1.735801715009758,-1.7314898390783489,0.06233341456117085,-1.722799271457293,-1.7635403299557,-1.739914315809801,-1.7345758039373358,-1.735483719281848,-1.6959649570822626,-1.3514446228864325,-1.0130637786853869,-1.7313659281420357,-1.7336627706708194,-1.7247819032067098,-1.7440264803756724,-1.7398338570565723,-1.6780083999511015,-1.73095866351131,-1.716331899175503,-1.677951888930308,-1.6868736487834106,-1.6812740900100842,-1.7354899011209863,-1.7060110007023925,-1.723240185097158,-1.7349093069085217,-1.7235453042102966,-1.7291485907410125,-1.7334263506625223,-0.059136021814356135,-0.07165639935015226,-1.6896178278526044,-1.4206441641739234,-1.7303179910778825,-1.7213912603086856,-1.7430877269079552,-1.7384142127214275,-1.7165399407035968,-1.7319794465175573,-1.7345691865068322,-1.3899034185141443,-1.7006050984048187,-1.726263590939816,-1.5509003508377037,-1.7322327872635166,-1.7359035931966562,-1.6734378661942655,-1.7224301541001488,-1.7073925887611259,-1.7544324843103007,-1.7255099316783635,-1.725784712594356,-1.6732564113835995,-1.736460135956453,-1.7031443056369522
2,1519089533,-1.7393585217836465,-1.7295990401785983,-1.7273975026597799,-1.716323589711411,-1.7210342307561781,-1.7404565114101112,-1.7501011707692231,-1.7286972960560256,-1.159447769155064,-1.712582852576128,-1.7416800870721423,-1.6697337920938873,-1.7218436294968784,-1.7442006666047283,-1.715492865527179,-1.7508707161732189,-1.8205486065548024,-1.7256106128301167,-1.716536809811893,-1.5655640681445206,-1.7262399613481718,-1.7218669339990484,-1.7354038237095404,-1.7248989573347002,-1.6673414976086427,-1.680756601237766,-1.7012118005799737,-1.7533503895351183,-1.7146358731502038,-1.7320151512046011,-1.727673775503877,-1.7127299918347916,-1.7341167592788282,-1.7299608557788815,0.06233341456117085,-1.7212049201237778,-1.7618539964819842,-1.7382951047613424,-1.73297424296921,-1.7339294569283188,-1.6943559249218356,-1.3509854252882654,-1.0130637786853869,-1.7297450360482345,-1.732053553022119,-1.7231002561170798,-1.742346880862151,-1.738231878385092,-1.6763844895644668,-1.7293862545736207,-1.7148009719600887,-1.6763294513333686,-1.6852771600560292,-1.6797466481583587,-1.7338463762312655,-1.7045222136933926,-1.7216319466062582,-1.73323943688949,-1.7219007775679054,-1.7275268113464652,-1.7317895790640434,-0.08159146316091159,-0.06336331925721807,-1.6880262358239988,-1.4206441641739234,-1.7287300237728678,-1.7197814254317565,-1.7414034068206703,-1.7367424518059458,-1.7148978937432957,-1.730341041181079,-1.732895458784635,-1.389761563295766,-1.6989689683700433,-1.7246542090834436,-1.5498402363143153,-1.7306287865362686,-1.7342665614101889,-1.6718364829290182,-1.7208582570341195,-1.7058405395770073,-1.752553515205865,-1.7239023297769251,-1.7241890456743802,-1.671616212458004,-1.7348439484217124,-1.7015986176283389
3,1519089539,-1.7356456611993107,-1.7258809378363182,-1.7237327810834189,-1.7126472580790455,-1.717405634392715,-1.7367285874490885,-1.746169206834866,-1.7249228710804285,-1.159447769155064,-1.7089337070653416,-1.737884106942103,-1.6662027615171844,-1.718140316967956,-1.740344713839669,-1.7119214897482204,-1.746948107391705,-1.8173812252097303,-1.7218919239209303,-1.712835798977094,-1.5626185340371817,-1.7225746152006176,-1.7182061407183653,-1.7316656005239004,-1.721190048004401,-1.6637086280553095,-1.6771224303017398,-1.6975574991291604,-1.7493115094700598,-1.7107588312088935,-1.7282772721730786,-1.7239791333432002,-1.7091958992328853,-1.7303892923134896,-1.7263439852800173,0.06233341456117085,-1.7175498176311728,-1.7581643495582904,-1.7345728817806378,-1.7292249359310505,-1.7302733510486976,-1.6907190711894977,-1.3496596773838798,-1.0130637786853869,-1.726060393190783,-1.7282340776263438,-1.7192251733633577,-1.7385849859569478,-1.734558918643249,-1.6727600366338522,-1.7256501981390242,-1.7112370703411668,-1.6726829487947528,-1.6817034085197817,-1.6761989232840682,-1.730098426082185,-1.7010415388342484,-1.7180300175401935,-1.7293806284673134,-1.7182086214688252,-1.7237803993538,-1.7280465921345352,-0.056339495390174285,-0.07824296115681481,-1.6844494491606115,-1.4206441641739234,-1.7251042358498376,-1.7161187375504345,-1.7376103417984503,-1.7329009149926116,-1.711038897348132,-1.726602750318397,-1.729051272175008,-1.3871206416770245,-1.695310258628295,-1.7208674206200982,-1.5477200072675388,-1.7268596761054467,-1.7305522079712914,-1.6682123376216877,-1.717240118708708,-1.7022174367053544,-1.748458333070054,-1.720171103915565,-1.7205616176765717,-1.6680036178477398,-1.7311515503925927,-1.697922312805575
4,1519089544,-1.734516057668611,-1.7247383424794134,-1.722635662969858,-1.7115309431256862,-1.716307703596467,-1.7355992725287088,-1.7450074425210058,-1.723751825621876,-1.159447769155064,-1.7078250539759028,-1.7367486840510484,-1.6651251536689373,-1.7170277925018083,-1.7391704247323574,-1.7108457587857766,-1.7457900997956155,-1.8152696376463489,-1.7207550678298649,-1.7117017616774042,-1.561687694254343,-1.7214372769330928,-1.717104471108735,-1.7305219592733028,-1.7200795435148168,-1.6626190105999914,-1.6760426513704565,-1.696469329276751,-1.748068720517444,-1.7095980406118845,-1.727148053419262,-1.7228670560459762,-1.7081123971367704,-1.7292536253192912,-1.7252239492615784,0.06233341456117085,-1.7164166020960638,-1.7564780160845745,-1.7334296349685083,-1.728071309110768,-1.729151826660763,-1.6896094990144173,-1.3492568214265017,-1.0130637786853869,-1.7249622014713142,-1.727154695140303,-1.7180271865483445,-1.7374460571244748,-1.7334401408774616,-1.6716846846763818,-1.7245017827178033,-1.7101654688285386,-1.6716043487477867,-1.6806431334402245,-1.6751175622611156,-1.7289607561768783,-1.6999878944826368,-1.716927040451979,-1.728209913543138,-1.717081403729406,-1.7226294583249657,-1.726917226100334,-0.06241528196652176,-0.09623625045592475,-1.6833947070477697,-1.4206441641739234,-1.7239673448344308,-1.7150077002014774,-1.7364693780147966,-1.73173343349983,-1.7098803101304638,-1.7254731480676768,-1.7278620655324826,-1.3854153608603514,-1.6942362934205883,-1.719703322086971,-1.5466598927441506,-1.7257600335601215,-1.7294039241871801,-1.66710742463794,-1.7161276961422836,-1.7011140282738657,-1.7471937205721726,-1.7190225626884623,-1.719448984843615,-1.6669131290633594,-1.73001255695834,-1.6968358247903264
5,1519089550,-1.7320845475486408,-1.7223137751660111,-1.7203217267280861,-1.7091664933913582,-1.713987760063608,-1.733186675662683,-1.7426024036355852,-1.7212955404433057,-1.159447769155064,-1.70548014762106,-1.7343194994249236,-1.6628998519654794,-1.7147073711709826,-1.7367038236360002,-1.708553388812286,-1.7433674872450717,-1.8131580500829676,-1.7183542815342223,-1.7093209308591772,-1.560756854471504,-1.7190702060424983,-1.7147790561875125,-1.728084032011189,-1.7178197382772897,-1.6603072770165361,-1.6737185898581823,-1.6941695483792034,-1.7454423217001795,-1.707157411186247,-1.7247745923973943,-1.7206078165886813,-1.7058700958989765,-1.7268699805175616,-1.7229332615471837,0.06233341456117085,-1.7140626244047135,-1.754791682610859,-1.7310874106020537,-1.7256910923754665,-1.726843568122794,-1.6872602583730874,-1.3485270252437007,-1.0130637786853869,-1.7226408134894213,-1.724842485403752,-1.7155645734041163,-1.7350324314973906,-1.7310125675837582,-1.6693786359961984,-1.7221251862203122,-1.70784757582691,-1.6692686401117056,-1.6783724133710416,-1.6728805917909895,-1.7265739966927884,-1.6977267502932165,-1.7146119498040386,-1.7257846990552816,-1.7146929907563861,-1.72023320912812,-1.7245369974561668,-0.07488312894099917,-0.09943971460734698,-1.6811036689069885,-1.4206441641739234,-1.7215551147351673,-1.7126693232684533,-1.7340308112793743,-1.729306855080403,-1.7074419544157546,-1.7230951630158455,-1.7254022617427556,-1.3837794985547995,-1.6918737504294552,-1.7172403565135916,-1.5455997782207622,-1.7234523572608502,-1.7269796657586771,-1.664786512698028,-1.7137995991572699,-1.6987710051605067,-1.7445314044214302,-1.7166318619825305,-1.717121210272667,-1.664543674170309,-1.7276827253406377,-1.6945196576400288
6,1519089555,-1.727777271147397,-1.7180634829533403,-1.716190585943328,-1.7050139008756284,-1.7098243341644785,-1.7289946614989746,-1.7382270164457767,-1.7170158031035034,-1.159447769155064,-1.7013523553503802,-1.7300687336063325,-1.6589893761644903,-1.7105819289151776,-1.73237141667582,-1.70442624948305,-1.7390065882731003,-1.8089348749562046,-1.7141460519162321,-1.7051688535267704,-1.5588951749058266,-1.7149292170754447,-1.7106408909810582,-1.7238421791643397,-1.713790883193243,-1.6562073783857745,-1.6696791743229513,-1.6900546217425607,-1.7408380616108758,-1.702910337656786,-1.7206158499348363,-1.7165800907655688,-1.7020049239846797,-1.7225877037188881,-1.7187924478937853,0.06233341456117085,-1.7099300950305683,-1.7514190156634275,-1.7269557489716805,-1.7215413536227713,-1.7227099119565075,-1.6832186566262277,-1.3470719296287716,-1.0130637786853869,-1.7184950843176248,-1.720730256333724,-1.7112841792774895,-1.7308210937444874,-1.726715975300332,-1.6653702188202653,-1.7179733056964435,-1.7038156727906597,-1.6651407622627765,-1.6743178393906342,-1.6689346841271404,-1.7224178385003788,-1.6937877274985529,-1.7106169042101902,-1.7214969682497032,-1.7105042741225167,-1.7159879227589725,-1.7203395281305593,-0.042723075062907886,-0.0922244355373212,-1.6770544799214613,-1.4206441641739234,-1.7173792776388181,-1.7084814029274997,-1.7297897989151658,-1.7250134570038322,-1.7031970410717014,-1.7189223153493531,-1.721109049644159,-1.378971512110622,-1.6878366031894398,-1.7129651883908028,-1.5434795491739857,-1.7193532383089163,-1.72272884446858,-1.6606428350971552,-1.7096477939122556,-1.6947000722367147,-1.739860743389341,-1.7123978427208435,-1.7129449690812182,-1.6603686763392462,-1.7236044174341025,-1.6903866439299646
7,1519089561,-1.7271096959879568,-1.7174255988073628,-1.7155434961463367,-1.7043988999675206,-1.7092064708031536,-1.7283586448956405,-1.7375854823108385,-1.7163574923423914,-1.159447769155064,-1.7007420501491646,-1.7294450246129092,-1.6583892222402823,-1.7099454602163116,-1.7316981640837235,-1.7038137151427872,-1.738363013681797,-1.807879081174514,-1.7135128139168467,-1.7045121283891085,-1.5588951749058266,-1.7143160701996614,-1.7100122852931905,-1.7232404966002135,-1.7131473238885406,-1.655568300259496,-1.6690750722612673,-1.6894282986313054,-1.7400986519240722,-1.7022803937915019,-1.7199899096084288,-1.7159457985630502,-1.7013815309472229,-1.7219275104951088,-1.718170257190107,0.06233341456117085,-1.7093163273907255,-1.7497453613887621,-1.7263324586559592,-1.7208956569754768,-1.7220859807294508,-1.6826201813066881,-1.3469264465187532,-1.0130637786853869,-1.717849449068115,-1.720137074115065,-1.7106379637284361,-1.7301796233117743,-1.7260383033679478,-1.664769824473446,-1.7173289093886277,-1.7032157343124563,-1.6645043404222875,-1.6737476659394146,-1.6683292979972566,-1.721792204480026,-1.6931961632961217,-1.7099936869471115,-1.72086362889243,-1.709874241412227,-1.7153452210704807,-1.7197042060779149,-0.03448330970594351,-0.1049335059324496,-1.6764729858997047,-1.4206441641739234,-1.7167939683254962,-1.7078566672617335,-1.7291639906740637,-1.7243760281837852,-1.7025663763026153,-1.718289113927305,-1.7204597061718512,-1.378268272411003,-1.687231250882264,-1.712304208810915,-1.5434795491739857,-1.7187619866142683,-1.7220944622587522,-1.6600137923405773,-1.7090413002331848,-1.6940690639510396,-1.739101985629174,-1.711752734764872,-1.7123301720430175,-1.6597427659904618,-1.7229825417995452,-1.6897595786461017
8,1519089566,-1.7246279216958766,-1.7149978820164196,-1.7131075493494614,-1.702019194866571,-1.7068499565477577,-1.7259225422225422,-1.7350957212626752,-1.7139105559434968,-1.159447769155064,-1.6983828533464402,-1.7270257653911818,-1.6562376085577752,-1.7076162033278772,-1.7292227189011888,-1.7014799086696017,-1.7358557963787091,-1.804711699829442,-1.7110941114284692,-1.7021264090006563,-1.557964335122988,-1.711969814470798,-1.7076445329621837,-1.7207787553181546,-1.7108528728208439,-1.6533029394021153,-1.6667768265266165,-1.6871862549201206,-1.7374212702836123,-1.6999085100758042,-1.717613920126775,-1.713651552873485,-1.6990890745458296,-1.7194980664638635,-1.7157916810024343,0.06233341456117085,-1.7069752048824645,-1.7460557144650684,-1.7239460285393617,-1.7185584213065337,-1.7197195003503913,-1.6802596835624843,-1.3462593403306327,-1.0130637786853869,-1.7154103958263343,-1.717799978532793,-1.7081373313747301,-1.727735147454652,-1.723543315575493,-1.662521889956952,-1.714992323117136,-1.700899844985419,-1.6621666892748659,-1.6715003469821503,-1.6661249758078254,-1.719411020828247,-1.6909408416844849,-1.7076832971294242,-1.718395180740338,-1.7074651864016999,-1.7129426910108745,-1.7172883349206536,-0.09650627075654813,-0.12175917745674208,-1.6741978578261039,-1.4206441641739234,-1.7143766145857062,-1.705494441195423,-1.7267333359233155,-1.721905236240832,-1.700195577131108,-1.7158876787152333,-1.7179700467173538,-1.3763637906493733,-1.6848252457248198,-1.7098417632053236,-1.5424194346505973,-1.7164156096167216,-1.719658177471362,-1.6576664951045967,-1.7066816755179801,-1.691725766663555,-1.7363759680567488,-1.7093592173049446,-1.7099804520068438,-1.6573757788820236,-1.7205787414731564,-1.687521443705137
9,1519089572,-1.7221369611369337,-1.712638075266554,-1.7107729213132434,-1.6996415472232052,-1.7044721236382467,-1.7234708054206576,-1.7326066418789,-1.7114333746447097,-1.159447769155064,-1.696019660127592,-1.7245203873396848,-1.6540098710753968,-1.705275098218661,-1.7267288719376392,-1.6991349196063945,-1.7333598524805458,-1.8015443184843698,-1.708676353670599,-1.6997172114171721,-1.5524047988857592,-1.7095498176382855,-1.705238062842651,-1.7183575969291827,-1.7085256466922478,-1.650897488536081,-1.6644963296823798,-1.6848588991027784,-1.734718973517519,-1.697487064208994,-1.715219260000626,-1.7113225433959305,-1.6967295922033019,-1.7170498863442487,-1.7134975531564192,0.06233341456117085,-1.7045846167376468,-1.7434437994606666,-1.7215409044459453,-1.7161466388116062,-1.7174010893825757,-1.6778298483007554,-1.3452026039224085,-1.0130637786853869,-1.713061407669224,-1.7154044712469148,-1.7056372236880157,-1.7252768313528781,-1.7210383679802865,-1.6602978213825774,-1.7125920813402251,-1.6985863581035046,-1.6597368007139537,-1.669207124695583,-1.6638631540747892,-1.716999238852871,-1.6887035936839416,-1.7052874338897903,-1.7159450372803304,-1.7050702376629459,-1.7105014742179367,-1.7148483940273116,-0.10785883635947685,-0.12602547317242124,-1.6718823884960192,-1.4206441641739234,-1.7120053311682073,-1.7030843728124732,-1.7242303774375654,-1.7194436438858514,-1.697772790899027,-1.7134567006055064,-1.715468336981878,-1.375322512982555,-1.6823633683468575,-1.7073875776167586,-1.5381789765570442,-1.7140380175734917,-1.7172788115299158,-1.6553598488817511,-1.7043699661918905,-1.6893772264279774,-1.7336212227466539,-1.706939374546234,-1.70766624695934,-1.6550572610587233,-1.718181398561709,-1.6851712919302735
