,Time,HundredGigE0/0/0/8packets-received,HundredGigE0/0/0/13bytes-received,HundredGigE0/0/0/13bytes-sent,HundredGigE0/0/0/0packets-sent,HundredGigE0/0/0/31packets-received,HundredGigE0/0/0/6bytes-sent,HundredGigE0/0/0/14bytes-received,HundredGigE0/0/0/10packets-received,HundredGigE0/0/0/5output-data-rate,HundredGigE0/0/0/8output-data-rate,HundredGigE0/0/0/15packets-received,performance-statistics__global__configuration-items-processed,HundredGigE0/0/0/11output-data-rate,HundredGigE0/0/0/16bytes-sent,HundredGigE0/0/0/0packets-received,HundredGigE0/0/0/9packets-received,HundredGigE0/0/0/31bytes-received,HundredGigE0/0/0/14packets-received,HundredGigE0/0/0/28packets-received,HundredGigE0/0/0/31packets-sent,HundredGigE0/0/0/9packets-sent,HundredGigE0/0/0/28bytes-sent,HundredGigE0/0/0/10packets-sent,HundredGigE0/0/0/4packets-received,HundredGigE0/0/0/11packets-received,HundredGigE0/0/0/8bytes-sent,HundredGigE0/0/0/18bytes-received,HundredGigE0/0/0/17packets-received,HundredGigE0/0/0/0input-packet-rate,HundredGigE0/0/0/18packets-sent,HundredGigE0/0/0/7packets-sent,HundredGigE0/0/0/17bytes-sent,HundredGigE0/0/0/1packets-received,HundredGigE0/0/0/8packets-sent,HundredGigE0/0/0/7bytes-received,HundredGigE0/0/0/9bytes-received,HundredGigE0/0/0/6bytes-received,HundredGigE0/0/0/19output-data-rate,protocol-route-memory,HundredGigE0/0/0/10bytes-sent,HundredGigE0/0/0/7output-data-rate,HundredGigE0/0/0/28bytes-received,HundredGigE0/0/0/14packets-sent,HundredGigE0/0/0/5packets-received,HundredGigE0/0/0/6packets-received,HundredGigE0/0/0/16packets-received,HundredGigE0/0/0/13packets-sent,HundredGigE0/0/0/6output-data-rate,HundredGigE0/0/0/11input-data-rate,HundredGigE0/0/0/5input-data-rate,HundredGigE0/0/0/31output-packet-rate,HundredGigE0/0/0/11bytes-sent,HundredGigE0/0/0/30bytes-received,HundredGigE0/0/0/6packets-sent,HundredGigE0/0/0/8bytes-received,HundredGigE0/0/0/17bytes-received,HundredGigE0/0/0/5bytes-received,HundredGigE0/0/0/15packets-sent,HundredGigE0/0/0/18packets-received,HundredGigE0/0/0/19bytes-sent,HundredGigE0/0/0/16packets-sent,HundredGigE0/0/0/1bytes-received,HundredGigE0/0/0/15bytes-sent,HundredGigE0/0/0/7packets-received,HundredGigE0/0/0/5bytes-sent,HundredGigE0/0/0/31bytes-sent,HundredGigE0/0/0/30packets-sent,HundredGigE0/0/0/19packets-sent,performance-statistics__vrf__inbound-update-messages,HundredGigE0/0/0/11bytes-received,HundredGigE0/0/0/4bytes-received,HundredGigE0/0/0/15bytes-received,HundredGigE0/0/0/30input-packet-rate,HundredGigE0/0/0/5packets-sent,HundredGigE0/0/0/17packets-sent,HundredGigE0/0/0/1packets-sent,HundredGigE0/0/0/30packets-received,HundredGigE0/0/0/16bytes-received,HundredGigE0/0/0/10bytes-received,HundredGigE0/0/0/28packets-sent,HundredGigE0/0/0/1output-packet-rate,HundredGigE0/0/0/11packets-sent,HundredGigE0/0/0/9output-data-rate,HundredGigE0/0/0/13packets-received,HundredGigE0/0/0/19packets-received,HundredGigE0/0/0/6input-data-rate,HundredGigE0/0/0/4bytes-sent,HundredGigE0/0/0/9bytes-sent,HundredGigE0/0/0/7bytes-sent,HundredGigE0/0/0/30bytes-sent,HundredGigE0/0/0/4packets-sent,HundredGigE0/0/0/18output-data-rate,HundredGigE0/0/0/18input-data-rate,HundredGigE0/0/0/19bytes-received,HundredGigE0/0/0/14bytes-sent,HundredGigE0/0/0/18bytes-sent
0,1519068860,-1.692774438082471,-1.7195409075868993,-1.7774255414102793,-1.7270966736511604,-1.7202133290324568,-1.7685055964366023,-1.721365552251896,-1.6921702590660912,-0.11924824740257388,-0.12714105874363202,-1.692726992996323,-1.2705430733143068,-0.13220343818107078,-1.7728621337847803,-1.8971254516850655,-1.692855604747875,-1.7070199123273595,-1.6932677755125725,-1.7483863336423626,-1.7338250191665436,-1.8027793089932602,-1.7149032882594188,-1.802552546544347,-1.675723513685955,-1.692962137309663,-1.752477630138061,-1.717377701492775,-1.7447570402554422,-0.09599674112048297,-1.8256684108411618,-1.815297057957258,-1.771124011811495,-1.7258857523717852,-1.801706353477247,-1.6660730947053857,-1.6768732405669193,-1.6656404703106797,-0.1268562071823323,0.07167933088145235,-1.7531357357858848,-0.12455186976513344,-1.7277666963984073,-1.793155774486137,-1.6761053412994495,-1.6756513143041853,-1.7442892387314166,-1.7935853520031018,-0.12192159419470736,-0.11161024914244942,-0.12292591475299412,0.386398098203537,-1.753195585225929,-1.7282057124412955,-1.814592157317249,-1.6771712003066268,-1.718268129571035,-1.666148620919812,-1.7939554528365163,-1.7434943636404119,-1.7717759671427156,-1.8274405862150174,-1.7150924635801195,-1.788415081023151,-1.676216054503802,-1.7687153260862072,-1.7340400952688215,-1.710801873647774,-1.8262849589333388,-1.4415030008574166,-1.6768631907864495,-1.6657149857154838,-1.72012023641896,1.0610063512510293,-1.8147428430760526,-1.8257575635133214,-1.3750567872831403,-1.7283245628783652,-1.7178616054711318,-1.6759430207550556,-1.7272513799328773,-0.09590496598843858,-1.8023162845663494,-0.1327247617262905,-1.691871531211302,-1.74435821952613,-0.12827846487802505,-1.7680530083620845,-1.75302571499062,-1.769308790500637,-1.6048737830528352,-1.813750094822784,-0.12714105874363202,-0.12104214949382851,-1.7181353512436404,-1.7282846879574758,-1.7714851006567671
1,1519068866,-1.6895809245123223,-1.7160076405582874,-1.7743976347476487,-1.7237246105038566,-1.7173548211881737,-1.7654086079771343,-1.7178288828801425,-1.6895086562265926,-0.11924824740257388,-0.12714105874363202,-1.6896645891056945,-1.2705430733143068,-0.13220343818107078,-1.7696459685606545,-1.895975569048832,-1.689657698011419,-1.7013777490942348,-1.6897075471555945,-1.7440537410356953,-1.731515317209905,-1.7994714861109302,-1.7106861964862916,-1.7992466326856587,-1.6732186056427216,-1.690307066496225,-1.7493599734736376,-1.7127444734788067,-1.7407119742668171,-0.09599674112048297,-1.8216083865989905,-1.8120275049415346,-1.7679106840356658,-1.7229682755694629,-1.7984014187259234,-1.6626115341066183,-1.6732326821733705,-1.6621762872499157,-0.1268562071823323,0.07167933088145235,-1.7500203189599575,-0.12455186976513344,-1.724322499667555,-1.7898917425544685,-1.672602837830894,-1.6726458909529571,-1.739754202102585,-1.7897600018575652,-0.12192159419470736,-0.11161024914244942,-0.12292591475299412,0.2854268356787689,-1.750080337890956,-1.7269160623133522,-1.8113266617947468,-1.6735366645396867,-1.714786510469889,-1.6626869616514068,-1.7906612777955562,-1.7389521726484922,-1.7685615979535048,-1.8239598407247146,-1.7150924635801195,-1.7852895834539895,-1.6732119486708705,-1.7650015090477909,-1.7316650992436677,-1.7083917676486353,-1.8228074852848135,-1.4415030008574166,-1.6744461488721076,-1.6634051287745562,-1.7171647921538,-0.4054251911284432,-1.8103914298018082,-1.8222805748265392,-1.3744203723259694,-1.7270284544870327,-1.7138146374729972,-1.6735207716749865,-1.7231439119813408,-0.09590496598843858,-1.799011718085717,-0.1327247617262905,-1.6883147347437923,-1.7393138797713492,-0.12827846487802505,-1.764952232140779,-1.7505299867868236,-1.766208955019474,-1.6048737830528352,-1.8104803411696502,-0.12714105874363202,-0.12104214949382851,-1.71292754880491,-1.725682476304779,-1.7676257583579122
2,1519068872,-1.6874519154655565,-1.7142410070439813,-1.7713697280850178,-1.7208342706633106,-1.714972731317938,-1.7623116195176665,-1.7160605481942657,-1.6873793739549938,-0.11924824740257388,-0.12714105874363202,-1.6881333871603803,-1.2705430733143068,-0.13220343818107078,-1.7664298033365289,-1.8948256864125985,-1.688058744643191,-1.7013777490942348,-1.6881817350026038,-1.7418874447323618,-1.7291453114121749,-1.7961636632286002,-1.7082782121306304,-1.7953897331838553,-1.671214679208135,-1.6887140240081622,-1.7462423168092143,-1.7110070129735684,-1.7381838080239265,-0.09599674112048297,-1.8175483623568192,-1.808757951925811,-1.7653400218150022,-1.7205370449008608,-1.7945456615160458,-1.6608807538072348,-1.6720191627088543,-1.6604441957195335,-0.1268562071823323,0.07167933088145235,-1.7469049021340304,-0.12455186976513344,-1.7226004013021288,-1.7866277106228001,-1.6701010496390685,-1.6706422753854717,-1.7372347373087895,-1.786481130304248,-0.12192159419470736,-0.11161024914244942,-0.12292591475299412,0.20464982565895443,-1.7475881400229774,-1.7245863717596484,-1.8075169170184944,-1.6711136406950602,-1.712465431069125,-1.6598022455944024,-1.787367102754596,-1.736933421096528,-1.76406148108861,-1.819898970986028,-1.70976105350162,-1.7827891853986604,-1.671209211448916,-1.7612876920093747,-1.7292908496970232,-1.7063833459826865,-1.8181708537534467,-1.4415030008574166,-1.672633367436351,-1.6616727360688606,-1.7159826144477361,-0.4054251911284432,-1.8065839431868445,-1.8188035861397571,-1.3738748737912512,-1.7247031644855977,-1.7115020843312059,-1.6717040848649347,-1.7200633110176884,-0.09590496598843858,-1.7957071516050844,-0.1327247617262905,-1.686282279619501,-1.7367917098939587,-0.12827846487802505,-1.7624716111637342,-1.7474103265320782,-1.7637290866345432,-1.603190090794557,-1.8072105875165163,-0.12714105874363202,-0.12104214949382851,-1.710612969943252,-1.7236007069826211,-1.7637664160590574
3,1519068877,-1.6858551586804822,-1.7124743735296752,-1.7695529840874393,-1.7179439308227646,-1.7130670594217492,-1.7604534264419855,-1.714292213508389,-1.685250091683395,-0.11924824740257388,-0.12714105874363202,-1.6860917845666283,-1.2705430733143068,-0.13220343818107078,-1.763213638112403,-1.8940590979884429,-1.686459791274963,-1.7013777490942348,-1.6861473187986165,-1.7397211484290283,-1.7267584464760752,-1.793407144159992,-1.7066188239477134,-1.7931857906113962,-1.6682087895562552,-1.6865899673574118,-1.7443717228105604,-1.7086903989665843,-1.7361612750296138,-0.09599674112048297,-1.8146483450409825,-1.8065782499153287,-1.7627693595943388,-1.7185920603659792,-1.7923423716818299,-1.6597269002743125,-1.6708056432443381,-1.6587121041891515,-0.1268562071823323,0.07167933088145235,-1.745035652038474,-0.12455186976513344,-1.7208783029367027,-1.7839076840130765,-1.6685999767239732,-1.6691395637098578,-1.7342113795562353,-1.78429521593537,-0.12192159419470736,-0.11161024914244942,-0.12292591475299412,0.24503833066886166,-1.7457189916219935,-1.7220070715037619,-1.805339920003493,-1.669902128772747,-1.7107246215185519,-1.6586483591716008,-1.7851709860606226,-1.7344099816565726,-1.7621328595750836,-1.8169983497441091,-1.70976105350162,-1.7809138868571635,-1.6697071585324503,-1.7594307834901666,-1.7269164508546768,-1.7047766086499276,-1.815852537987763,-1.4415030008574166,-1.670216325522009,-1.6576304864222375,-1.713618259035608,-0.014376779827250549,-1.8044082365497223,-1.8159060955674386,-1.3735112081014391,-1.7221302104603413,-1.7080332546185193,-1.6692818357848656,-1.7180095770419204,-0.09590496598843858,-1.793504107284663,-0.1327247617262905,-1.6847579382762825,-1.7347739739920465,-0.12827846487802505,-1.7599909901866897,-1.7449145983282817,-1.7618691853458455,-1.603190090794557,-1.8044857928055713,-0.12714105874363202,-0.12104214949382851,-1.7088770357970084,-1.7215189376604636,-1.7611935211931542
4,1519068883,-1.683193897372025,-1.7112966178534712,-1.7677362400898609,-1.716017037595734,-1.7111613875255605,-1.7585952333663049,-1.7131133237178044,-1.6836531299796957,-0.11924824740257388,-0.12714105874363202,-1.6845605826213141,-1.2705430733143068,-0.13220343818107078,-1.7599974728882775,-1.8931008624582484,-1.684860837906735,-1.6957355858611103,-1.6846215066456258,-1.7364717039740278,-1.7243670425411837,-1.7912019289051053,-1.7029881325099028,-1.790981848038937,-1.6667058447303151,-1.684996924869349,-1.7406305348132525,-1.7063737849596001,-1.7336331087867232,-0.09599674112048297,-1.8123283311883134,-1.803853622402226,-1.7595560318185093,-1.7156745835636569,-1.7890374369305062,-1.657996119974929,-1.6689853640475636,-1.6564026488153087,-0.1268562071823323,0.07167933088145235,-1.7431664019429178,-0.12455186976513344,-1.7171104035055822,-1.781187657403353,-1.6665985461705128,-1.6671359481423724,-1.732195807721199,-1.782109301566492,-0.12192159419470736,-0.11161024914244942,-0.12292591475299412,0.26523258317381526,-1.7419806948200256,-1.719386169630845,-1.8031629229884916,-1.6674791049281203,-1.707823272267597,-1.6563405863259972,-1.7824258401931559,-1.7318865422166172,-1.760204238061557,-1.8135176042538064,-1.70976105350162,-1.777788389288002,-1.6682051056159846,-1.7575738749709586,-1.7245410069424174,-1.7031698713171686,-1.8135342222220796,-1.4415030008574166,-1.669007804564838,-1.6564755579517738,-1.711844992476512,0.3766716314739421,-1.8022325299126,-1.81300860499512,-1.372965709566721,-1.7194884608729122,-1.706298839762176,-1.668070711244831,-1.714928976078268,-0.09590496598843858,-1.7901995408040303,-0.1327247617262905,-1.683233596933064,-1.732756238090134,-0.12827846487802505,-1.757510369209645,-1.7430428021754343,-1.7587693498646821,-1.603190090794557,-1.8017609980946265,-0.12714105874363202,-0.12104214949382851,-1.7071411016507652,-1.7189167260077665,-1.7592638500437268
5,1519068888,-1.6815971405869508,-1.7095299843391654,-1.7659194960922822,-1.7140901443687033,-1.70782646170723,-1.7554982449068368,-1.7107555441366353,-1.6820561682759967,-0.11924824740257388,-0.12714105874363202,-1.683029380676,-1.2705430733143068,-0.13220343818107078,-1.758067773753802,-1.8923342740340927,-1.683261884538507,-1.6957355858611103,-1.6825870904416385,-1.7343054076706943,-1.721969154322304,-1.7889967136502185,-1.701328744326986,-1.7882269198233633,-1.665202899904375,-1.6834038823812862,-1.7387599408145984,-1.7046363244543619,-1.7311049425438325,-0.09599674112048297,-1.810008317335644,-1.8016739203917436,-1.756985369597846,-1.7132433528950548,-1.7868341470962905,-1.655688412909084,-1.6677718445830474,-1.6552479211283873,-0.1268562071823323,0.07167933088145235,-1.740674068482176,-0.12455186976513344,-1.715388305140156,-1.779011636115574,-1.6650974732554176,-1.6656332364667583,-1.7301802358861627,-1.779923387197614,-0.12192159419470736,-0.11161024914244942,-0.12292591475299412,-0.17904097193516438,-1.7401115464190418,-1.7169316742260499,-1.8004416767197398,-1.6656618370446503,-1.705502192866833,-1.6551866999031957,-1.7796806943256893,-1.729867790664653,-1.7576327427101885,-1.8111971072602713,-1.7044296434231205,-1.7746628917188405,-1.6662023683940301,-1.7557169664517505,-1.7221543658525187,-1.7011614496512197,-1.8106363275149753,-1.4415030008574166,-1.667799283607667,-1.65532062948131,-1.7106628147704481,-0.11213888265254872,-1.800056823275478,-1.8101111144228015,-1.3726020438769089,-1.7170283315696189,-1.7045644249058325,-1.666254024434779,-1.7128752421024998,-0.09590496598843858,-1.7879964964836086,-0.1327247617262905,-1.6817092555898456,-1.7307385021882218,-0.12827846487802505,-1.7556499034768616,-1.7411710060225871,-1.7569094485759842,-1.601506398536279,-1.7995811623258706,-0.12714105874363202,-0.12104214949382851,-1.7054051675045216,-1.7173553990161483,-1.7573341788942995
6,1519068894,-1.6800003838018764,-1.7083522286629613,-1.7622860080971252,-1.711681527834915,-1.7059207898110416,-1.7536400518311561,-1.7089872094507588,-1.6804592065722974,-0.11924824740257388,-0.12714105874363202,-1.6809877780822478,-1.2705430733143068,-0.13220343818107078,-1.7561380746193267,-1.891376038503898,-1.6816629311702789,-1.6900934226279856,-1.6810612782886478,-1.7321391113673608,-1.7195997969529726,-1.786791498395332,-1.699669356144069,-1.7860229772509042,-1.6636999550784353,-1.6812798257305357,-1.7368893468159445,-1.7028988639491238,-1.7290824095495199,-0.09599674112048297,-1.8076883034829747,-1.7994942183812612,-1.7550573729323482,-1.7108121222264527,-1.7846308572620748,-1.6545345593761616,-1.665951565386273,-1.654093193441466,-0.1268562071823323,0.07167933088145235,-1.7388048183866198,-0.12455186976513344,-1.71366620677473,-1.7762916095058503,-1.6630960427019572,-1.6641305247911444,-1.7281646640511263,-1.776644515644297,-0.12192159419470736,-0.11161024914244942,-0.12292591475299412,0.3460095931936298,-1.7376193485510631,-1.7144355772042241,-1.7982646797047384,-1.664450325122337,-1.7037613833162601,-1.652878927057592,-1.7774845776317159,-1.7278490391126886,-1.7557041211966622,-1.808876610266736,-1.6990982333446212,-1.7727875931773436,-1.6647003154775644,-1.7532410884261396,-1.7197923585534265,-1.699554712318461,-1.8083180117492916,-1.4415030008574166,-1.6653822416933248,-1.6535882367756145,-1.70829845935832,0.5721958371245385,-1.797337189979075,-1.8077931219649468,-1.3722383781870968,-1.714554443153891,-1.702830010049489,-1.6650428998947444,-1.7108215081267315,-0.09590496598843858,-1.7852426910830816,-0.1327247617262905,-1.6801849142466272,-1.7282163323108313,-0.12827846487802505,-1.7537894377440781,-1.7392992098697397,-1.7550495472872865,-1.601506398536279,-1.7974013265571147,-0.12714105874363202,-0.12104214949382851,-1.7030905886428638,-1.7152736296939908,-1.7554045077448721
7,1519068899,-1.6778713747551106,-1.7065855951486553,-1.7598636827670207,-1.7097546346078842,-1.7040151179148528,-1.7517818587554752,-1.7066294298695897,-1.6783299243006986,-0.11924824740257388,-0.12714105874363202,-1.6794565761369336,-1.2705430733143068,-0.13220343818107078,-1.753565142440026,-1.8906094500797423,-1.679530993345975,-1.6900934226279856,-1.6790268620846605,-1.7299728150640272,-1.7172109867316763,-1.784586283140445,-1.698009967961152,-1.7832680490353303,-1.6621970102524952,-1.679686783242473,-1.7350187528172907,-1.7011614034438856,-1.7270598765552074,-0.09599674112048297,-1.804788286167138,-1.7973145163707789,-1.7531293762668505,-1.7088671376915712,-1.782427567427859,-1.652803779076778,-1.6635245264572405,-1.6523611019110838,-0.1268562071823323,0.07167933088145235,-1.7356894015606925,-0.12455186976513344,-1.7119441084093037,-1.7735715828961267,-1.661594969786862,-1.6626278131155303,-1.725645199257331,-1.7739121226831993,-0.12192159419470736,-0.11161024914244942,-0.12292591475299412,0.3460095931936298,-1.7351271506830845,-1.7118146753313073,-1.796087682689737,-1.6620273012777103,-1.702020573765687,-1.6517250406347903,-1.7752884609377424,-1.7258302875607243,-1.7537754996831358,-1.805975989024817,-1.6990982333446212,-1.7709122946358467,-1.6631982625610986,-1.7501462408941262,-1.7174172132325707,-1.6979479749857018,-1.8059996959836082,-1.4415030008574166,-1.6641737207361538,-1.6524333083051508,-1.707116281652256,0.865482145600433,-1.7946175566826723,-1.8054751295070919,-1.3718747124972848,-1.711937459968844,-1.700517456907698,-1.6626206508146752,-1.7087677741509635,-0.09590496598843858,-1.7824888856825545,-0.1327247617262905,-1.678152459122336,-1.726198596408919,-0.12827846487802505,-1.7506886615227726,-1.7374274137168924,-1.7531896459985885,-1.601506398536279,-1.7946765318461697,-0.12714105874363202,-0.12104214949382851,-1.7013546544966203,-1.713191860371833,-1.752188389162493
8,1519068905,-1.6762746179700363,-1.7042300837962472,-1.7580469387694422,-1.7078277413808536,-1.7016330280446168,-1.7499236656797945,-1.7054505400790052,-1.6762006420290998,-0.11924824740257388,-0.12714105874363202,-1.6774149735431816,-1.2705430733143068,-0.13220343818107078,-1.7509922102607256,-1.889842861655587,-1.6779320399777469,-1.6900934226279856,-1.67750104993167,-1.7278065187606935,-1.7148215280819814,-1.7818297640718368,-1.6963505797782352,-1.7810641064628714,-1.6601930838179086,-1.6775627265917226,-1.7331481588186366,-1.6994239429386475,-1.7245317103123168,-0.09599674112048297,-1.8024682723144687,-1.7951348143602965,-1.7505587140461871,-1.7069221531566896,-1.7802242775936432,-1.6516499255438557,-1.6623110069927243,-1.6512063742241625,-0.1268562071823323,0.07167933088145235,-1.7338201514651363,-0.12455186976513344,-1.7102220100438774,-1.7713955616083477,-1.6600938968717667,-1.6611251014399162,-1.7231257344635358,-1.7717262083143213,-0.12192159419470736,-0.11161024914244942,-0.12292591475299412,0.3258153406886761,-1.7332580022821007,-1.7092353750754208,-1.7939106856747358,-1.6602100333942402,-1.7002797642151142,-1.6505711542119887,-1.7730923442437692,-1.72381153600876,-1.7518468781696095,-1.8030753677828981,-1.6990982333446212,-1.7690369960943497,-1.6616962096446328,-1.748289332374918,-1.7150407242503984,-1.6963412376529428,-1.8036813802179248,-1.4415030008574166,-1.6617566788218119,-1.6501234513642233,-1.704751926240128,0.9632442484257312,-1.7924418500455501,-1.8025776389347734,-1.3714201303850198,-1.7093424913636923,-1.6982049037659068,-1.660198401734606,-1.7067140401751952,-0.09590496598843858,-1.780285841362133,-0.1327247617262905,-1.6761200039980446,-1.7241808605070066,-0.12827846487802505,-1.7488281957899892,-1.734307753462147,-1.7513297447098906,-1.5998227062780008,-1.7924966960774138,-0.12714105874363202,-0.12104214949382851,-1.6996187203503768,-1.7116305333802149,-1.7502587180130655
9,1519068910,-1.6752101134466535,-1.7024634502819413,-1.7562301947718637,-1.705900848153823,-1.6987745202003337,-1.7480654726041136,-1.7036822053931284,-1.6751360008933003,-0.11924824740257388,-0.12714105874363202,-1.6748629703009912,-1.2705430733143068,-0.13220343818107078,-1.7477760450365998,-1.8890762732314312,-1.676866071065595,-1.6844512593948608,-1.6759752377786794,-1.72564022245736,-1.7124379052878758,-1.7790732450032285,-1.6946911915953182,-1.7788601638904122,-1.6586901389919686,-1.6765006982663473,-1.7306540334870981,-1.6965281754299173,-1.722003544069426,-0.09599674112048297,-1.8001482584617994,-1.7918652613445731,-1.7479880518255235,-1.704977168621808,-1.7774701653008735,-1.6504960720109332,-1.661097487528208,-1.6494742826937803,-0.1268562071823323,0.07167933088145235,-1.73195090136958,-0.12455186976513344,-1.7084999116784514,-1.7692195403205688,-1.6580924663183063,-1.6596223897643023,-1.7206062696697404,-1.7695402939454432,-0.12192159419470736,-0.11161024914244942,-0.12292591475299412,0.3056210881837225,-1.7313888538811166,-1.706697676436565,-1.7917336886597344,-1.6596042774330837,-1.697378414964159,-1.6482633813663852,-1.769798169202809,-1.7212880965688047,-1.749918256656083,-1.8001747465409792,-1.6937668232661218,-1.7659114985251883,-1.6601941567281668,-1.74643242385571,-1.712665280338139,-1.6943328159869941,-1.8013630644522411,-1.4415030008574166,-1.6605481578646408,-1.6483910586585275,-1.701796481974968,1.0610063512510293,-1.790266143408428,-1.799680148362455,-1.3710564646952077,-1.7067970555633047,-1.6958923506241157,-1.6595928394645887,-1.704660306199427,-0.09590496598843858,-1.7780827970417112,-0.1327247617262905,-1.6745956626548262,-1.7221631246050944,-0.12827846487802505,-1.7463475748129444,-1.7318120252583504,-1.7476099421324947,-1.5998227062780008,-1.789771901366469,-0.12714105874363202,-0.12104214949382851,-1.6978827862041332,-1.7100692063885967,-1.7483290468636383
