,Time,HundredGigE0/0/0/8packets-received,HundredGigE0/0/0/13bytes-received,HundredGigE0/0/0/0output-packet-rate,HundredGigE0/0/0/13bytes-sent,HundredGigE0/0/0/0packets-sent,HundredGigE0/0/0/1output-load,HundredGigE0/0/0/31packets-received,HundredGigE0/0/0/6bytes-sent,HundredGigE0/0/0/14bytes-received,HundredGigE0/0/0/10packets-received,HundredGigE0/0/0/0bytes-sent,HundredGigE0/0/0/15packets-received,HundredGigE0/0/0/16bytes-sent,HundredGigE0/0/0/29packets-sent,HundredGigE0/0/0/0packets-received,HundredGigE0/0/0/9packets-received,HundredGigE0/0/0/6output-packet-rate,HundredGigE0/0/0/14packets-received,HundredGigE0/0/0/31bytes-received,HundredGigE0/0/0/28packets-received,HundredGigE0/0/0/31packets-sent,HundredGigE0/0/0/29bytes-received,HundredGigE0/0/0/9packets-sent,HundredGigE0/0/0/28bytes-sent,HundredGigE0/0/0/10packets-sent,HundredGigE0/0/0/12bytes-sent,HundredGigE0/0/0/4packets-received,HundredGigE0/0/0/11packets-received,HundredGigE0/0/0/8bytes-sent,HundredGigE0/0/0/18bytes-received,HundredGigE0/0/0/17packets-received,HundredGigE0/0/0/18packets-sent,HundredGigE0/0/0/7packets-sent,HundredGigE0/0/0/17bytes-sent,HundredGigE0/0/0/1packets-received,HundredGigE0/0/0/8packets-sent,HundredGigE0/0/0/7bytes-received,HundredGigE0/0/0/29bytes-sent,HundredGigE0/0/0/9bytes-received,HundredGigE0/0/0/6bytes-received,protocol-route-memory,HundredGigE0/0/0/10bytes-sent,HundredGigE0/0/0/0output-load,HundredGigE0/0/0/28bytes-received,HundredGigE0/0/0/14packets-sent,HundredGigE0/0/0/5packets-received,HundredGigE0/0/0/6packets-received,HundredGigE0/0/0/16packets-received,HundredGigE0/0/0/13packets-sent,HundredGigE0/0/0/11bytes-sent,HundredGigE0/0/0/30bytes-received,HundredGigE0/0/0/6packets-sent,HundredGigE0/0/0/8bytes-received,HundredGigE0/0/0/17bytes-received,HundredGigE0/0/0/5bytes-received,HundredGigE0/0/0/15packets-sent,HundredGigE0/0/0/18packets-received,HundredGigE0/0/0/19bytes-sent,HundredGigE0/0/0/16packets-sent,HundredGigE0/0/0/1bytes-received,HundredGigE0/0/0/15bytes-sent,HundredGigE0/0/0/7packets-received,HundredGigE0/0/0/5bytes-sent,HundredGigE0/0/0/31bytes-sent,HundredGigE0/0/0/30packets-sent,HundredGigE0/0/0/1bytes-sent,HundredGigE0/0/0/12packets-sent,HundredGigE0/0/0/19output-packet-rate,HundredGigE0/0/0/19packets-sent,performance-statistics__vrf__inbound-update-messages,HundredGigE0/0/0/11bytes-received,HundredGigE0/0/0/4bytes-received,HundredGigE0/0/0/15bytes-received,HundredGigE0/0/0/5packets-sent,HundredGigE0/0/0/17packets-sent,HundredGigE0/0/0/1packets-sent,HundredGigE0/0/0/6output-load,HundredGigE0/0/0/30packets-received,HundredGigE0/0/0/31output-load,HundredGigE0/0/0/16bytes-received,HundredGigE0/0/0/10bytes-received,HundredGigE0/0/0/29packets-received,HundredGigE0/0/0/28packets-sent,HundredGigE0/0/0/11packets-sent,HundredGigE0/0/0/13packets-received,HundredGigE0/0/0/19packets-received,HundredGigE0/0/0/4bytes-sent,HundredGigE0/0/0/30output-load,HundredGigE0/0/0/9bytes-sent,HundredGigE0/0/0/7bytes-sent,HundredGigE0/0/0/30bytes-sent,HundredGigE0/0/0/12packets-received,HundredGigE0/0/0/4packets-sent,HundredGigE0/0/0/12bytes-received,HundredGigE0/0/0/30output-packet-rate,HundredGigE0/0/0/19bytes-received,HundredGigE0/0/0/14bytes-sent,HundredGigE0/0/0/18bytes-sent
0,1504285743,-1.7286258453529748,-1.678785361053061,-0.5542550758504265,-1.7212568018794094,-1.7008323199127628,-1.2970287520195192,-1.6985878319663057,-1.6659455676632084,-1.6774373872387813,-1.7197958728714569,-1.6879212079633268,-1.726178273265457,-1.7197395466472918,-1.8695981241521853,-1.7222796594622811,-1.731851448028313,-0.4425517341370083,-1.706604895463213,-1.6805153468531357,-1.7806143723957777,-1.714035281602308,-1.7038844971571045,-1.699628414017998,-1.7985586427742153,-1.7165022832775454,-1.7121581843307538,-1.688892255714417,-1.6900718513246742,-1.708131692746463,-1.6954318582757308,-1.703012737640207,-1.7048997292916097,-1.7142915214372425,-1.707251416309358,-1.7154962069262711,-1.7140195850928095,-1.717675339673979,-1.8225221718426867,-1.714468570185808,-1.8029132618114205,-0.3205587487537622,-1.7160816630103153,-0.7359611061976117,-1.755507298176361,-1.7254333555946226,-1.7494549553412642,-1.7728231084476918,-1.7241405541275145,-1.7251685217184922,-1.7302490040224283,-1.7126148609595924,-1.6757207767457354,-1.7292537117707294,-1.6654145031500132,-1.7569229447449808,-1.7182580870541377,-1.689727573317805,-1.726770449734347,-1.7209560001185618,-1.7173930097441408,-1.7184258873540634,-1.6891989687749316,-1.6970675928748276,-1.7129282304651263,-1.709072435204926,-1.7099007022713084,-1.7155109993009903,1.0579271797972503,-1.7272449058173058,-1.3604329675172344,-1.681083214810696,-1.6724930833472558,-1.7150103623987432,-1.7023612993808672,-1.7110140898580803,-1.7102471189910586,-0.49997145092727563,-1.7154299696079118,-0.3100863706372682,-1.7125609387815828,-1.7143834270550873,-1.7111761215268353,-1.8312690685510458,-1.739356953278957,-1.6722607414392099,-1.7020180431882783,-1.709002451213382,-0.8843453332336746,-1.7082011666383197,-1.7137346004122889,-1.694838834714457,-1.6949527208798478,-1.7127358199807974,-1.6683131717059059,-0.8574126240574773,-1.69632037912674,-1.7231537024909227,-1.706818297608038
1,1504285748,-1.7269303561024143,-1.6772329588916528,-0.594805936454023,-1.719550488054744,-1.6993018680774281,-1.2970287520195192,-1.696961245194307,-1.6645468505622747,-1.6759190391843768,-1.7181137313142716,-1.6864356321179388,-1.7244600482351902,-1.7180427466330466,-1.8695981241521853,-1.7206918314266453,-1.7300959031815644,-0.47394066664163625,-1.7049926632691281,-1.6789063343047617,-1.7806143723957777,-1.7123567332370637,-1.7038844971571045,-1.698160987104256,-1.7985586427742153,-1.7150581377809886,-1.7106299030220409,-1.687338889500522,-1.6885747024240807,-1.7067020065004792,-1.6938083571767124,-1.7013544782743972,-1.70331246060075,-1.712634383700397,-1.7056329227378946,-1.713951471089751,-1.712582805816419,-1.716051501356782,-1.8225221718426867,-1.7128078511243654,-1.8008285568799982,-0.3205587487537622,-1.7146407462366735,-0.7359611061976117,-1.755507298176361,-1.7236432802283606,-1.7477046620177716,-1.770967921560593,-1.722459240406972,-1.7234547061782062,-1.728455787000923,-1.7109819740187233,-1.6742985852071575,-1.7276203140568476,-1.6639899898333654,-1.7551123319262172,-1.7166500699896328,-1.6881106217905706,-1.7250269707365546,-1.7192478155376003,-1.7158284893810862,-1.7168451101604445,-1.687747848883475,-1.6955435168197384,-1.7112611831341231,-1.707396118015234,-1.708335810161814,-1.7139628815311008,1.0518782821272894,-1.7255190575298125,-1.3604329675172344,-1.6795903696551722,-1.671006802707037,-1.7133156507321128,-1.7008592430381506,-1.7094339819387956,-1.708688317163357,-0.49997145092727563,-1.713777782666317,-0.3100863706372682,-1.7109468519411881,-1.7127213644106751,-1.7111761215268353,-1.8312690685510458,-1.7375305232841556,-1.6708271581789877,-1.700460900612266,-1.7073180364069402,-0.8843453332336746,-1.7067114757531254,-1.7120651749557834,-1.693228418267782,-1.6935401161014345,-1.7110673701318468,-1.6669820719092503,-0.8270803401451768,-1.6948273437491517,-1.7213669476282338,-1.7052273783091287
2,1504285754,-1.7167780093749425,-1.6681411903510603,-0.593773139736237,-1.7096299528221932,-1.689726798281731,-1.0811674389144055,-1.6877799050862492,-1.6554932327494436,-1.6671695656024308,-1.7083472121396819,-1.6771181736859333,-1.714119761757522,-1.7083047485995617,-1.8599054590169368,-1.7109098054985923,-1.7198007253962773,-0.5409112263556788,-1.6957364865661761,-1.669686987083594,-1.770898351579434,-1.7027758606692693,-1.6894671776050716,-1.6885168310122958,-1.7907860184138384,-1.705789435350797,-1.7017990694824314,-1.6779801035387867,-1.6798638805666952,-1.697245914341211,-1.684503708791805,-1.691624505108431,-1.6936085319821719,-1.7029492604744738,-1.696180871294201,-1.7042565860979415,-1.703107284739696,-1.7062609470748087,-1.8143663951416438,-1.7032708619589756,-1.789259158115745,-0.3205587487537622,-1.7050565508854991,-0.7359611061976117,-1.7473308187775154,-1.7138930720291696,-1.7372338354974537,-1.760332691557696,-1.7124748494406656,-1.7135459057641598,-1.7183249539614711,-1.7014810268258909,-1.6652007300453076,-1.7177844081635834,-1.6553895385107469,-1.7442476895070338,-1.7067896031307916,-1.6786664928735167,-1.7150201850735913,-1.7093385072427199,-1.7060228276513865,-1.7068365056264783,-1.6786964304599412,-1.6863322027564573,-1.7017282437295693,-1.6980487517975809,-1.698549976644958,-1.7050133121575004,0.9498031339466964,-1.7155441518982657,-1.3604329675172344,-1.6710883102140286,-1.6618827459342054,-1.703019228119526,-1.6916155953861527,-1.7001472199695435,-1.6989341435219787,-0.49997145092727563,-1.7039671003985586,-0.3100863706372682,-1.7010070596929316,-1.7029649377960288,-1.6987017454602593,-1.8222209496307233,-1.7270833077032406,-1.6623439826622126,-1.6914040532208547,-1.6975479459324783,-0.8843453332336746,-1.696855653797495,-1.7023996384695983,-1.6842202201755603,-1.684355302687407,-1.7012607962470336,-1.658486216616969,-0.8687825553883519,-1.6859504504802292,-1.7116787781478993,-1.6953481880562173
3,1504285759,-1.7065491703667472,-1.6590606304195235,-0.5489280190955306,-1.6999567114023704,-1.6799328426406492,-0.865306125809292,-1.6784861508561948,-1.6461627945089712,-1.6584893566836976,-1.698398159655379,-1.667570909636604,-1.7036891135504793,-1.6982573491387924,-1.8502127938816884,-1.7009428877786652,-1.7092547181322146,-0.5363808649632583,-1.686418871836434,-1.660605917008154,-1.7563243203549188,-1.693013773409668,-1.682203906770146,-1.678927503552376,-1.775357651262414,-1.6966428179489381,-1.6922721387160597,-1.6685604514200612,-1.6709858370732382,-1.687951873332438,-1.6752082032499487,-1.6814828428702668,-1.68378373021584,-1.69321460163667,-1.6862254869631352,-1.6943293507371302,-1.6936817326639269,-1.6967760400526521,-1.806210618440601,-1.6933270267705098,-1.777392385268065,-0.3205587487537622,-1.6960470231915206,-0.7359611061976117,-1.7311008145572506,-1.7039714424401857,-1.7268920967969927,-1.7491168145962523,-1.7021428857907666,-1.7036804855192018,-1.7082867587825659,-1.692002779411611,-1.6557739659876929,-1.7080587485274563,-1.6465983992892836,-1.7334128630190406,-1.696763065495415,-1.6692508021799575,-1.7050353017337505,-1.69916057800669,-1.6960957043321017,-1.696905129292619,-1.6698889042943974,-1.676963616363304,-1.6919895473708253,-1.688659509021604,-1.6886919756988243,-1.6954413633151002,0.7929728599828101,-1.7055728096063831,-1.3604329675172344,-1.6623260469223138,-1.6529166212333568,-1.692438849907935,-1.68220846009803,-1.6905252042349583,-1.6890348269047406,-0.49997145092727563,-1.6941664767415539,-0.58396976399201,-1.6910459283642827,-1.6929349590848413,-1.690385494749209,-1.80864877125024,-1.7168281379759351,-1.6537065967256963,-1.6822967299144382,-1.6881774461492738,-0.9526284874305504,-1.6872123916123958,-1.692756120969463,-1.6752764978807373,-1.674913863593156,-1.691767982343227,-1.6497026427000117,-0.9429208658509382,-1.6772563510078304,-1.7020475771471357,-1.6854772748173201
4,1504285765,-1.6969198594440884,-1.6500929106479014,-0.4616476368222847,-1.689611510159503,-1.669994695083924,-0.865306125809292,-1.6688592215540154,-1.6365268496633179,-1.6498600592696537,-1.6890411921021533,-1.6578668816098467,-1.6934293806831273,-1.6879575676446186,-1.8356737961788157,-1.6909223435789957,-1.6994379253878724,-0.4803000559254067,-1.6769089679400697,-1.6511325288796086,-1.7466082995385752,-1.6835282841055887,-1.6749406359352201,-1.6696962071319843,-1.7633188496215297,-1.687488150178383,-1.682753861504704,-1.6595910308859307,-1.6619982439008951,-1.6787959666405539,-1.665571531127002,-1.6716462302107742,-1.6738766307404562,-1.6832132365837653,-1.6761005261620476,-1.6844400485145963,-1.6842552398112611,-1.6863536342376027,-1.7935783627983841,-1.6839297122403918,-1.7654732124830046,-0.3205587487537622,-1.6867697286868264,-0.7359611061976117,-1.7229243351584052,-1.693654765721022,-1.7161600228262803,-1.7378713454245869,-1.69175044834151,-1.6933375347427653,-1.6976515645870096,-1.6821526191771814,-1.6461272949578856,-1.69856420391483,-1.6378094104464969,-1.7222623803064947,-1.686982717505926,-1.6597140185809265,-1.6949240149823206,-1.6887355628897376,-1.6861031537032267,-1.6871357769243325,-1.6601360399866243,-1.6674363480119785,-1.6825848969239987,-1.6792370022560372,-1.6789433467225487,-1.685804874572276,0.6694745325544383,-1.695546274594368,-1.3604329675172344,-1.653562260150665,-1.6442881359505985,-1.6822112575874961,-1.6724805262870481,-1.6807302500850994,-1.6792481210667083,-0.49997145092727563,-1.6840940159458275,-0.8578531573467517,-1.6810230539879967,-1.6841076308649219,-1.6820692440381584,-1.7950765928697565,-1.706134052296529,-1.6452572136511443,-1.6726832994980347,-1.678319536873142,-1.020911641627426,-1.6776449810109195,-1.682781313172878,-1.6662432575258843,-1.6654235127705113,-1.6817492818021633,-1.6407209844345414,-1.0079239601044252,-1.6679324860907687,-1.691955720566121,-1.6754862982512102
5,1504285770,-1.6802122900533667,-1.6340183933359431,-0.4559038375321417,-1.671539840700185,-1.652735400617334,-0.6494448127041784,-1.6518287760927657,-1.62015526841736,-1.6346000228607043,-1.6708218183321708,-1.6410778964098636,-1.6752915499291319,-1.6704657317878016,-1.8162884659083187,-1.6732159006177092,-1.6803794816720927,-0.5016856128088825,-1.660328693359215,-1.6347766802566532,-1.727176257905888,-1.6659747200270547,-1.660414094265369,-1.6535428266459828,-1.752039778181284,-1.6709834310397118,-1.6653579327749084,-1.6434006432388517,-1.6444699991292953,-1.6624511731503333,-1.6490871711986579,-1.6541917947635916,-1.6570416507801804,-1.6656437941446922,-1.6588528028428011,-1.6670809858993474,-1.6674744756110988,-1.6690276902765944,-1.7737101548950915,-1.6657218430686447,-1.7443497290857441,-0.3205587487537622,-1.6704291329846048,-0.7359611061976117,-1.706571376360714,-1.676055957261492,-1.6973023923727604,-1.7174850242470663,-1.6731959881686422,-1.6753102760580478,-1.6791384741968887,-1.664814973574744,-1.6294708302676162,-1.6823529627059823,-1.6221219658804193,-1.702811325585429,-1.6695453858725247,-1.643403885050715,-1.6776748178224343,-1.6708882769226239,-1.6685724412724727,-1.6699055216044494,-1.6438820222224488,-1.650466926124362,-1.6652072971869156,-1.6623325801176065,-1.6616034433157527,-1.6684342174981515,0.3641312189228622,-1.6782240379421831,-1.3604329675172344,-1.6357280602177078,-1.6287543216937925,-1.6644423328186966,-1.6552668755696784,-1.66368838244071,-1.6618622915869639,-0.49997145092727563,-1.6666104528001886,-0.8578531573467517,-1.6631441944058913,-1.6670687258629417,-1.6654367426160572,-1.781504414489273,-1.6868966499298357,-1.6300724763880692,-1.6560931893102628,-1.660802065657901,-1.020911641627426,-1.6609143532177015,-1.6650008321331868,-1.6502245496824506,-1.6488215167211724,-1.6639805695350935,-1.625284439128356,-0.9590126847822171,-1.6521445382211093,-1.6746244091147666,-1.6586890583623786
6,1504285776,-1.6780374405834653,-1.6316372885592905,-0.42385090079945087,-1.669192831439932,-1.6504313103270172,-0.865306125809292,-1.6496461583971551,-1.6179963430816455,-1.6327513389872035,-1.6684741504448535,-1.638820822721797,-1.6729884773196304,-1.6682292089737718,-1.8017494682054462,-1.670960386267595,-1.6777604832360569,-0.4892763620383393,-1.6583205789376079,-1.6327108877858485,-1.7126022266813727,-1.6636739514211294,-1.653150823430443,-1.6514412226931232,-1.7442671538209071,-1.6688434962774463,-1.6631737870183911,-1.64108184389303,-1.6420681297161608,-1.6601389076642838,-1.64679437190473,-1.6519226148944903,-1.6548887272321908,-1.6633599774114922,-1.6566966102550809,-1.6648358430201886,-1.6650856732454866,-1.6669182409563088,-1.7575212447516682,-1.6631478942592628,-1.7414645990202124,-0.3205587487537622,-1.6684590595284159,-0.5846826271918413,-1.6903413721404492,-1.6737382755599224,-1.6949535409484988,-1.7147838407156142,-1.6708186327679373,-1.6730218861028032,-1.676797090866318,-1.6625653606193582,-1.6272614481158076,-1.680302412638304,-1.6199822477929544,-1.7003684962248296,-1.667468486023884,-1.641234600539287,-1.675366565116068,-1.6685774159555875,-1.6662944845046828,-1.667843568398346,-1.6416765926727868,-1.6482720812887919,-1.662938896742963,-1.660052532831134,-1.6594290120180522,-1.6662686497568073,0.3698020604884507,-1.6759004116836984,-1.3604329675172344,-1.6332225588718323,-1.6265036849504455,-1.6622407385997322,-1.6530073455664267,-1.6616085230552047,-1.6596662910806044,-0.49997145092727563,-1.6642878757210657,-0.8578531573467517,-1.660885458410022,-1.6647361706534354,-1.6571204919050067,-1.772456295568951,-1.6844547827941372,-1.6277906146270094,-1.6538944717248465,-1.6584077737914837,-0.9526284874305504,-1.6587117530844806,-1.6627658891607782,-1.648016679054103,-1.6467280091974892,-1.661593894012712,-1.6234298740006758,-0.9161510357520121,-1.6500103131289883,-1.6724321328968383,-1.6565304461954231
7,1504285781,-1.668341962882327,-1.623235696169084,-0.47550885592941217,-1.6586547714492792,-1.6406847946673164,-0.865306125809292,-1.6398385285392376,-1.6091832932462526,-1.6243035489542175,-1.6584169001810238,-1.6293347048133366,-1.6625929505178596,-1.6581256863843954,-1.7920568030701978,-1.660736185744142,-1.6667430295219183,-0.6401852325200242,-1.6490328839560087,-1.623499992081442,-1.7028862058650291,-1.6532746248115888,-1.6458875525955174,-1.6418487174429117,-1.7288387866694828,-1.6593292079616702,-1.6536079314930592,-1.6321347109498627,-1.6315967615971267,-1.6504445253248397,-1.63762690143796,-1.6423465086140743,-1.6451588741902952,-1.6531980381671656,-1.6468512993025706,-1.6549115877454827,-1.6548427154370604,-1.6567451758868565,-1.7493654680506252,-1.6529303865013603,-1.7288658763377875,-0.3205587487537622,-1.6591349848650474,-0.7359611061976117,-1.6821648927416037,-1.6632893285577763,-1.6842507711904227,-1.702534483000375,-1.6600261282073583,-1.6623797661185025,-1.6661263685545946,-1.6525951545233435,-1.618249920864771,-1.6708875742289329,-1.611115956300028,-1.6894376577065155,-1.6572830802857577,-1.6320837494441072,-1.6645950625503754,-1.6582274955894876,-1.6563038222878002,-1.6577640531044062,-1.6320355789385819,-1.6388635791441646,-1.6527195120938019,-1.650433946126929,-1.6497217015024521,-1.656419109355893,0.6697895793080821,-1.6651598730001453,-1.3604329675172344,-1.6224443814188103,-1.6181494640024456,-1.6522914816512595,-1.6432959342756814,-1.6519202978895733,-1.6499144885924018,-0.6503518009036735,-1.6539712495765393,-0.3100863706372682,-1.650748807554054,-1.6548590396702938,-1.648804241193956,-1.7588841171884675,-1.6734571430972243,-1.6190493534566577,-1.6443381906620058,-1.6484638990091354,-1.020911641627426,-1.648921531378385,-1.6525758577485643,-1.638893068794972,-1.637150948365972,-1.6516042540763907,-1.6144630440858851,-0.9134768578238623,-1.640780297472639,-1.6623562458092234,-1.6468667300295752
8,1504285787,-1.6582795542574855,-1.6141223200542203,-0.48038293166773544,-1.6485007982554416,-1.631007948799698,-0.865306125809292,-1.6305207870760894,-1.600195778826433,-1.6157718810042763,-1.6484672146835309,-1.6199121114630781,-1.6518600002606465,-1.64836368787111,-1.7823641379349493,-1.650779484490933,-1.6562610909046944,-0.7041449309359985,-1.6397979053485046,-1.6142756781121976,-1.6931701850486855,-1.6431153099252833,-1.6314702330434845,-1.6327891807685466,-1.7134104195180584,-1.6501842437990666,-1.6440531872362942,-1.6232250644403161,-1.6213671547346473,-1.6406730456676166,-1.6283912737946522,-1.6326521877895004,-1.635130363020237,-1.6436183488858356,-1.6368924042225408,-1.645142276915665,-1.6448651348869239,-1.6476661403191688,-1.7412096913495823,-1.6431595044251222,-1.7163114208938641,-0.3205587487537622,-1.6496639226651206,-0.7359611061976117,-1.6739884133427583,-1.6536348096481681,-1.6737691789784674,-1.6905441358272633,-1.649552530711065,-1.6522286752339532,-1.6562419971188593,-1.6428147820805907,-1.609176085712378,-1.6611133662999007,-1.6025004247778998,-1.6787550470090558,-1.6475956838488501,-1.622751938834798,-1.6540873635577786,-1.6482013780475966,-1.6464757417944889,-1.6482303423080578,-1.6231130787127082,-1.6292729704342714,-1.642653136482542,-1.6406989526020102,-1.639988353059488,-1.6468672832085192,0.8823201193161933,-1.6546311043737496,-1.3604329675172344,-1.6120513835046046,-1.6096470811332801,-1.6415307999378075,-1.6337823638128781,-1.6422039186798654,-1.640131869209842,-0.6503518009036735,-1.6441081380381015,-0.03620297728252638,-1.6406599486478388,-1.6450658373725968,-1.6363298651273803,-1.7453119388079839,-1.6630996255796717,-1.6099853707599772,-1.6350642014419838,-1.6388518145917756,-0.9526284874305504,-1.6396199594308762,-1.6427523473509444,-1.6296320002481386,-1.6275388048281134,-1.6418589313390446,-1.6055743687062616,-0.7947470979230021,-1.631964006524396,-1.6527531630172432,-1.636571994569137
9,1504285792,-1.6482280400820628,-1.6047450218417525,-0.6087939902457908,-1.639290521370771,-1.621492097253482,-1.0811674389144055,-1.6207760287606836,-1.5908190549646628,-1.6073509258748735,-1.6380776957961898,-1.6105884459419362,-1.6421764914653878,-1.638657422015617,-1.7726714727997008,-1.6407380138167387,-1.6457952667870337,-0.6649333868345202,-1.6307412726813852,-1.604598858672512,-1.683454164232342,-1.6329899112073971,-1.6242069622085586,-1.6240593353179003,-1.7056377951576815,-1.6406540317245124,-1.634399993973496,-1.6143876908040058,-1.61123726022681,-1.6312342861596507,-1.6190479729673728,-1.6229722489865046,-1.6252224508872246,-1.633817642565524,-1.626683953251676,-1.6352488785056354,-1.6352299270406312,-1.6372679145569502,-1.7330539146485393,-1.633335083026397,-1.7046835993065859,-0.3205587487537622,-1.6398597578185534,-0.7359611061976117,-1.6658119339439126,-1.6432455142883293,-1.6632897183734565,-1.6793963152254978,-1.6392657871439391,-1.6428560636718836,-1.6457092739911794,-1.633142005398759,-1.5997115956529941,-1.6512514445030884,-1.5938913585597423,-1.6678608031038398,-1.6375168422333606,-1.6134639896913445,-1.6436243201940761,-1.6383349393774747,-1.6364917714797407,-1.6381791007675461,-1.6135558661451583,-1.618854051914094,-1.6325002615118975,-1.6310592321901334,-1.6305864938681476,-1.6371261308912024,0.920377767156365,-1.6442785011776209,-1.3604329675172344,-1.6016290204969532,-1.6010412118572683,-1.6322162381061003,-1.6234725529088398,-1.6320401438031873,-1.630593516597619,-0.6503518009036735,-1.6342387027317218,-0.03620297728252638,-1.630751717248987,-1.6348625653340296,-1.6280136144163297,-1.7362638198876617,-1.6521688947238693,-1.601010430710916,-1.6258883561477444,-1.62871751911006,-0.9526284874305504,-1.630591948376873,-1.6328246530574453,-1.6203567812954736,-1.6182579574107763,-1.6317727224915082,-1.596993460175816,-0.7789170866210525,-1.6230051032692787,-1.6424784115788231,-1.6266244424972671
